model,n,stopping_rule,component_value,median_selected_components,replications,alpha,critical_value,rejection_rate,mcse,mean_sqrt_n_residual,median_sqrt_n_residual,mean_abs_stat_difference,median_abs_stat_difference,median_sqrt_n_threshold
Model 1,100,m=1,1,1.0,5000,0.05,15.058966723349231,0.5272,0.00706059714188538,4.535963598317031,4.248916213155302,14.125154077391223,7.6837854195182,11.823804309229267
Model 1,100,m=2,2,2.0,5000,0.05,15.058966723349231,0.0264,0.0022672908944376766,1.8668451814472276,1.8478921237339088,3.3151175699023727,3.265796333348353,11.823804309229267
Model 1,100,m=3,3,3.0,5000,0.05,15.058966723349231,0.0346,0.0025846794772273023,1.27176732799199,1.2674678288091927,2.0983816053340627,2.021602574827767,11.823804309229267
Model 1,100,m=5,5,5.0,5000,0.05,15.058966723349231,0.0564,0.0032624849424939878,0.6911828716378235,0.6882943644009759,0.4773459135601741,0.4575819645248398,11.823804309229267
Model 1,100,m=10,10,10.0,5000,0.05,15.058966723349231,0.0616,0.0034001599962354715,0.2396842811663687,0.23916841155766755,0.061020414458656295,0.05769859073010419,11.823804309229267
Model 1,100,m=20,20,20.0,5000,0.05,15.058966723349231,0.062,0.003410454515163631,0.06536206271189506,0.06508267944511048,0.004691873452826002,0.004282864608277315,11.823804309229267
Model 1,100,m=40,40,40.0,5000,0.05,15.058966723349231,0.062,0.003410454515163631,0.014353245172087066,0.014153120458541661,0.0002445691625157203,0.00020321672325662732,11.823804309229267
Model 1,100,m=70,70,70.0,5000,0.05,15.058966723349231,0.062,0.003410454515163631,0.0032742895104063137,0.003112964209276575,1.4203241777104125e-05,1.0469536464441376e-05,11.823804309229267
Model 1,100,adaptive,1.0,1.0,5000,0.05,15.058966723349231,0.527,0.00706075066830716,4.532134881894317,4.245220457448297,14.09175024998926,7.671860107500487,11.823804309229267
Model 1,100,max-rank,100.0,100.0,5000,0.05,15.058966723349231,0.062,0.003410454515163631,5.916424135198191e-10,1.1064618778326942e-13,9.230092246070853e-14,6.394884621840902e-14,11.823804309229267
Model 2,100,m=1,1,1.0,5000,0.05,15.17554345689534,1.0,0.0,30.40508700918414,30.3603083885693,928.3956024781562,910.7752073750958,12.572113368651053
Model 2,100,m=2,2,2.0,5000,0.05,15.17554345689534,0.9982,0.0005994597567810576,9.674167156805046,9.723495139538372,89.76242648090182,86.8745085699963,12.572113368651053
Model 2,100,m=3,3,3.0,5000,0.05,15.17554345689534,0.3526,0.006756822330060189,3.1085855635740938,3.0405913159107856,5.661640267935016,4.439297740864718,12.572113368651053
Model 2,100,m=5,5,5.0,5000,0.05,15.17554345689534,0.0448,0.002925507135523686,1.016758541021273,1.01314129158822,1.1863164771721668,1.1450136070006314,12.572113368651053
Model 2,100,m=10,10,10.0,5000,0.05,15.17554345689534,0.0588,0.0033269373303385203,0.27236229735503414,0.2711358474194331,0.08544041926038314,0.07505883301743133,12.572113368651053
Model 2,100,m=20,20,20.0,5000,0.05,15.17554345689534,0.0602,0.0033638061775316365,0.06708512307804117,0.06672517268180797,0.007683992391506209,0.006285004944674988,12.572113368651053
Model 2,100,m=40,40,40.0,5000,0.05,15.17554345689534,0.06,0.0033585711247493327,0.01431698020618573,0.014079048717440056,0.0005228947838447562,0.0004040233352333722,12.572113368651053
Model 2,100,m=70,70,70.0,5000,0.05,15.17554345689534,0.06,0.0033585711247493327,0.003225104725089929,0.0031094678763591444,3.002639262004445e-05,2.1592200287301466e-05,12.572113368651053
Model 2,100,adaptive,2.0,2.0,5000,0.05,15.17554345689534,0.9602,0.0027646323444537775,9.019943008355398,9.410276360434398,79.67295208560822,79.97987170209092,12.572113368651053
Model 2,100,max-rank,100.0,100.0,5000,0.05,15.17554345689534,0.06,0.0033585711247493327,5.441247407888028e-10,1.3755799997952716e-13,1.2025704876350574e-13,8.43769498715119e-14,12.572113368651053
Model 3,100,m=1,1,1.0,5000,0.05,26.355375658174154,0.9838,0.0017853604678047508,13.760797747764451,13.56432319263941,198.6181461680645,177.16097906996234,15.249651913276807
Model 3,100,m=2,2,2.0,5000,0.05,26.355375658174154,0.1626,0.00521845264422319,2.9630768490282797,2.760695715896792,6.343342492331259,4.132280988377145,15.249651913276807
Model 3,100,m=3,3,3.0,5000,0.05,26.355375658174154,0.0312,0.0024587216190532835,1.7865524838158657,1.771763743057815,3.3112035920754526,3.2321958821288677,15.249651913276807
Model 3,100,m=5,5,5.0,5000,0.05,26.355375658174154,0.044,0.002900482718445328,1.0429170188295303,1.0351711258775724,1.314819284661147,1.2029620927524234,15.249651913276807
Model 3,100,m=10,10,10.0,5000,0.05,26.355375658174154,0.052,0.003139936305086458,0.3013642670718965,0.3004605397156587,0.09173499375370985,0.0894720384491654,15.249651913276807
Model 3,100,m=20,20,20.0,5000,0.05,26.355375658174154,0.0526,0.003156999841621789,0.06931044345230264,0.06892147979854915,0.005108970088326347,0.004712569513772635,15.249651913276807
Model 3,100,m=40,40,40.0,5000,0.05,26.355375658174154,0.0526,0.003156999841621789,0.0145354926977442,0.014336757112871888,0.0002461440340669088,0.0002075787722901623,15.249651913276807
