condition_number,dimension,trial,method,converged,breakdown,iterations,matvecs,budgeted_iterations,final_relative_residual
10.0,60,1,Conjugate Gradient,True,False,26,27,26,7.180845021916484e-09
10.0,60,1,Steepest Descent,True,False,79,80,79,7.529647543000253e-09
10.0,60,2,Conjugate Gradient,True,False,26,27,26,8.411080271401874e-09
10.0,60,2,Steepest Descent,True,False,77,78,77,9.823391233298146e-09
10.0,60,3,Conjugate Gradient,True,False,26,27,26,6.428433284192634e-09
10.0,60,3,Steepest Descent,True,False,71,72,71,9.020272408260432e-09
10.0,60,4,Conjugate Gradient,True,False,26,27,26,8.296915320308198e-09
10.0,60,4,Steepest Descent,True,False,75,76,75,7.48754306983483e-09
10.0,60,5,Conjugate Gradient,True,False,27,28,27,5.568817242016875e-09
10.0,60,5,Steepest Descent,True,False,78,79,78,8.98770786071877e-09
10.0,60,6,Conjugate Gradient,True,False,26,27,26,7.586183546467385e-09
10.0,60,6,Steepest Descent,True,False,72,73,72,9.003182363789528e-09
10.0,60,7,Conjugate Gradient,True,False,26,27,26,7.297226280691563e-09
10.0,60,7,Steepest Descent,True,False,73,74,73,9.840711454357839e-09
10.0,60,8,Conjugate Gradient,True,False,27,28,27,4.67658995993139e-09
10.0,60,8,Steepest Descent,True,False,77,78,77,8.896241245959728e-09
10.0,60,9,Conjugate Gradient,True,False,26,27,26,7.137685732681083e-09
10.0,60,9,Steepest Descent,True,False,77,78,77,8.731962383625973e-09
10.0,60,10,Conjugate Gradient,True,False,27,28,27,6.008606918957915e-09
10.0,60,10,Steepest Descent,True,False,80,81,80,8.921210900936162e-09
10.0,60,11,Conjugate Gradient,True,False,26,27,26,5.934506867816962e-09
10.0,60,11,Steepest Descent,True,False,77,78,77,8.080772546297716e-09
10.0,60,12,Conjugate Gradient,True,False,26,27,26,8.086464588966148e-09
10.0,60,12,Steepest Descent,True,False,78,79,78,8.467899774271524e-09
100.0,60,1,Conjugate Gradient,True,False,55,56,55,8.448323903631852e-09
100.0,60,1,Steepest Descent,True,False,633,634,633,9.622678695729223e-09
100.0,60,2,Conjugate Gradient,True,False,55,56,55,6.500587009435447e-09
100.0,60,2,Steepest Descent,True,False,611,612,611,9.639056987305373e-09
100.0,60,3,Conjugate Gradient,True,False,56,57,56,7.884781360723731e-09
100.0,60,3,Steepest Descent,True,False,667,668,667,9.660590413473986e-09
100.0,60,4,Conjugate Gradient,True,False,57,58,57,6.608647514820312e-09
100.0,60,4,Steepest Descent,True,False,669,670,669,9.729805539757942e-09
100.0,60,5,Conjugate Gradient,True,False,55,56,55,7.341854404915415e-09
100.0,60,5,Steepest Descent,True,False,655,656,655,9.993865481240073e-09
100.0,60,6,Conjugate Gradient,True,False,55,56,55,8.432318995211653e-09
100.0,60,6,Steepest Descent,True,False,669,670,669,9.926668554176663e-09
100.0,60,7,Conjugate Gradient,True,False,56,57,56,9.588244684683525e-09
100.0,60,7,Steepest Descent,True,False,635,636,635,9.591208576785725e-09
100.0,60,8,Conjugate Gradient,True,False,57,58,57,7.412461961773317e-09
100.0,60,8,Steepest Descent,True,False,715,716,715,9.805752649653398e-09
100.0,60,9,Conjugate Gradient,True,False,56,57,56,4.744879549266124e-09
100.0,60,9,Steepest Descent,True,False,585,586,585,9.835319432782646e-09
100.0,60,10,Conjugate Gradient,True,False,54,55,54,9.233693023460444e-09
100.0,60,10,Steepest Descent,True,False,626,627,626,9.620080427399286e-09
100.0,60,11,Conjugate Gradient,True,False,55,56,55,7.73696241200089e-09
100.0,60,11,Steepest Descent,True,False,657,658,657,9.865175093698238e-09
100.0,60,12,Conjugate Gradient,True,False,56,57,56,8.936748249037963e-09
100.0,60,12,Steepest Descent,True,False,685,686,685,9.711572006512875e-09
1000.0,60,1,Conjugate Gradient,True,False,93,94,93,8.026311934714976e-09
1000.0,60,1,Steepest Descent,True,False,4803,4804,4803,9.976452039422706e-09
1000.0,60,2,Conjugate Gradient,True,False,98,99,98,7.216368061875518e-09
1000.0,60,2,Steepest Descent,True,False,4932,4933,4932,9.990239183206998e-09
1000.0,60,3,Conjugate Gradient,True,False,98,99,98,6.639191167388011e-09
1000.0,60,3,Steepest Descent,True,False,5285,5286,5285,9.97221527522329e-09
1000.0,60,4,Conjugate Gradient,True,False,98,99,98,6.4086412477340465e-09
1000.0,60,4,Steepest Descent,True,False,4967,4968,4967,9.97123642343918e-09
1000.0,60,5,Conjugate Gradient,True,False,101,102,101,6.195279018846904e-09
1000.0,60,5,Steepest Descent,True,False,5894,5895,5894,9.976739141318638e-09
1000.0,60,6,Conjugate Gradient,True,False,98,99,98,7.603996434935687e-09
1000.0,60,6,Steepest Descent,True,False,5682,5683,5682,9.98068549678202e-09
1000.0,60,7,Conjugate Gradient,True,False,98,99,98,6.559295753914711e-09
1000.0,60,7,Steepest Descent,True,False,5365,5366,5365,9.996259703373031e-09
1000.0,60,8,Conjugate Gradient,True,False,98,99,98,4.91493322309493e-09
1000.0,60,8,Steepest Descent,True,False,5467,5468,5467,9.9728127041815e-09
1000.0,60,9,Conjugate Gradient,True,False,95,96,95,6.4506640133213465e-09
1000.0,60,9,Steepest Descent,True,False,5393,5394,5393,9.992710017121693e-09
1000.0,60,10,Conjugate Gradient,True,False,99,100,99,4.850392602727838e-09
1000.0,60,10,Steepest Descent,True,False,5311,5312,5311,9.972049686244869e-09
1000.0,60,11,Conjugate Gradient,True,False,102,103,102,4.0351915984629786e-09
1000.0,60,11,Steepest Descent,True,False,5148,5149,5148,9.977980443931278e-09
1000.0,60,12,Conjugate Gradient,True,False,97,98,97,7.498199194571054e-09
1000.0,60,12,Steepest Descent,True,False,5379,5380,5379,9.962577193313003e-09
10000.0,60,1,Conjugate Gradient,True,False,152,153,152,6.754423569713954e-09
10000.0,60,1,Steepest Descent,False,False,20000,20001,20001,1.1051246108804445e-06
10000.0,60,2,Conjugate Gradient,True,False,157,158,157,8.690482594893801e-09
10000.0,60,2,Steepest Descent,False,False,20000,20001,20001,1.2869747561965341e-06
10000.0,60,3,Conjugate Gradient,True,False,162,163,162,7.064944158536561e-09
10000.0,60,3,Steepest Descent,False,False,20000,20001,20001,1.2218774384827965e-06
10000.0,60,4,Conjugate Gradient,True,False,160,161,160,8.13975676255125e-09
10000.0,60,4,Steepest Descent,False,False,20000,20001,20001,2.2941970908156498e-06
10000.0,60,5,Conjugate Gradient,True,False,153,154,153,5.523075001898756e-09
10000.0,60,5,Steepest Descent,False,False,20000,20001,20001,4.3709400984523326e-07
10000.0,60,6,Conjugate Gradient,True,False,152,153,152,5.58998470701932e-09
10000.0,60,6,Steepest Descent,False,False,20000,20001,20001,1.7170607830414423e-06
10000.0,60,7,Conjugate Gradient,True,False,153,154,153,4.512465346513611e-09
10000.0,60,7,Steepest Descent,False,False,20000,20001,20001,1.7340926407438286e-06
