model,replication,method,selected_components,ise,mspe,finite_result,numerical_instability,instability_diagnostic
Model 1,1,CG-FPLS-code,1,0.7115531812904342,1.1971220160093061,True,False,nan
Model 1,1,Raw FPLS,2,0.5710969825258773,0.9420778299142057,True,False,50.065087808196104
Model 1,1,Arnoldi FPLS,2,0.5710969825257518,0.9420778299141158,True,False,8.060373969679239e-16
Model 1,1,FPCR,4,0.45447565900379516,0.8991628765841049,True,False,nan
Model 1,2,CG-FPLS-code,1,1.1563224321887318,1.8896098700959416,True,False,nan
Model 1,2,Raw FPLS,2,0.4797158242566262,1.0059346652442624,True,False,47.060854708095526
Model 1,2,Arnoldi FPLS,2,0.47971582425662684,1.005934665244138,True,False,6.780730434375262e-16
Model 1,2,FPCR,3,0.5243945341050802,1.0658591643096529,True,False,nan
Model 1,3,CG-FPLS-code,1,0.31247235283071556,1.1382168475916024,True,False,nan
Model 1,3,Raw FPLS,3,1.6125008574334958,1.1962470643268432,True,False,676.3249358268106
Model 1,3,Arnoldi FPLS,3,1.612500857547196,1.1962470643451184,True,False,1.3423105984707943e-15
Model 1,3,FPCR,13,1.212973393076533,1.110805796817206,True,False,nan
Model 1,4,CG-FPLS-code,1,0.6683670049242285,1.4304922589470892,True,False,nan
Model 1,4,Raw FPLS,2,0.494619624452519,1.1379610455632754,True,False,56.87591142912731
Model 1,4,Arnoldi FPLS,2,0.49461962445250024,1.1379610455632794,True,False,4.0465167000636135e-16
Model 1,4,FPCR,7,0.5749608122060313,1.1693977445869554,True,False,nan
Model 1,5,CG-FPLS-code,1,0.404999775876184,0.8445135732801587,True,False,nan
Model 1,5,Raw FPLS,1,0.4050162204147678,0.8442160740408602,True,False,1.0
Model 1,5,Arnoldi FPLS,1,0.4050162204147678,0.8442160740408614,True,False,0.0
Model 1,5,FPCR,9,0.4453621974735985,0.8452682291965259,True,False,nan
Model 1,6,CG-FPLS-code,1,0.7552329912630671,1.178228889716474,True,False,nan
Model 1,6,Raw FPLS,2,0.6331090754137665,1.1318647742038366,True,False,66.46336995386758
Model 1,6,Arnoldi FPLS,2,0.6331090754137356,1.1318647742038137,True,False,8.945866584379616e-16
Model 1,6,FPCR,4,0.6161493091877112,1.1079337100676563,True,False,nan
Model 1,7,CG-FPLS-code,1,0.644457396115212,1.836841572513453,True,False,nan
Model 1,7,Raw FPLS,2,0.5510128773304444,1.4155222850377798,True,False,87.29374201675124
Model 1,7,Arnoldi FPLS,2,0.5510128773306079,1.4155222850377283,True,False,5.2949467555368834e-17
Model 1,7,FPCR,7,0.5876332111540146,1.3565599065841403,True,False,nan
Model 1,8,CG-FPLS-code,1,0.7871770483289733,1.2221561008679522,True,False,nan
Model 1,8,Raw FPLS,2,0.48958067211037437,1.0464799536952079,True,False,55.37003091990282
Model 1,8,Arnoldi FPLS,2,0.4895806721104145,1.046479953695236,True,False,3.3521093689049506e-16
Model 1,8,FPCR,4,0.4255254017307313,1.0346368085683526,True,False,nan
Model 1,9,CG-FPLS-code,1,0.4962084119886634,0.9129550519575781,True,False,nan
Model 1,9,Raw FPLS,2,0.3815899132419739,0.7835870093793852,True,False,59.00406173553815
Model 1,9,Arnoldi FPLS,2,0.38158991324180525,0.7835870093793246,True,False,2.6610834985082813e-16
Model 1,9,FPCR,20,2.230102616107124,0.8135707670224712,True,False,nan
Model 1,10,CG-FPLS-code,1,0.6908640220519544,1.3376749351860215,True,False,nan
Model 1,10,Raw FPLS,2,0.40930397266732604,1.108157724600458,True,False,65.29244984104682
Model 1,10,Arnoldi FPLS,2,0.40930397266752183,1.1081577246005634,True,False,4.563807357305693e-16
Model 1,10,FPCR,6,0.449122331232189,1.0460476553909737,True,False,nan
Model 1,11,CG-FPLS-code,1,0.8359293790320288,1.281195903561777,True,False,nan
Model 1,11,Raw FPLS,2,0.6319996627488893,1.0322013692471632,True,False,56.08747100238315
Model 1,11,Arnoldi FPLS,2,0.6319996627492978,1.032201369247277,True,False,2.2870267262613443e-16
Model 1,11,FPCR,14,1.6297651187158573,1.0172846273759406,True,False,nan
Model 1,12,CG-FPLS-code,1,0.7024727998197924,1.1565443959824664,True,False,nan
Model 1,12,Raw FPLS,2,0.5017928092125078,0.9414082545080481,True,False,78.77571572740409
Model 1,12,Arnoldi FPLS,2,0.5017928092124991,0.9414082545080494,True,False,8.941575828463872e-16
Model 1,12,FPCR,3,0.5907832451646793,1.0230095460081259,True,False,nan
Model 1,13,CG-FPLS-code,1,0.8758558990713943,1.6203717026671969,True,False,nan
Model 1,13,Raw FPLS,49,14.259385940202026,1.7000310639598366,True,True,4503599627370496.0
Model 1,13,Arnoldi FPLS,2,0.66973135158832,1.1074628780907532,True,False,2.351591516682772e-16
Model 1,13,FPCR,23,3.7693061493562574,1.2590876318059117,True,False,nan
Model 1,14,CG-FPLS-code,1,0.5998933577676057,1.1610053558462332,True,False,nan
Model 1,14,Raw FPLS,2,0.6108342031430236,0.9897520565204003,True,False,94.52997005314654
Model 1,14,Arnoldi FPLS,2,0.6108342031430367,0.9897520565204022,True,False,7.011749573976501e-16
Model 1,14,FPCR,4,0.4684356791248685,0.9621722587983428,True,False,nan
Model 1,15,CG-FPLS-code,1,0.38495332492740764,1.520161688733245,True,False,nan
Model 1,15,Raw FPLS,2,0.2998437509052562,1.421658328902906,True,False,52.29446791385886
Model 1,15,Arnoldi FPLS,2,0.29984375090529203,1.4216583289029148,True,False,2.2547283355717397e-16
Model 1,15,FPCR,2,0.2625545186877411,1.4290664401557935,True,False,nan
Model 1,16,CG-FPLS-code,1,0.8292100668627913,1.172544561074186,True,False,nan
Model 1,16,Raw FPLS,2,0.6130677919607794,0.8460372978550071,True,False,29.441131446382244
Model 1,16,Arnoldi FPLS,2,0.6130677919607105,0.8460372978549924,True,False,5.552697708416179e-16
Model 1,16,FPCR,13,1.7024533476373438,0.9798818106728734,True,False,nan
Model 1,17,CG-FPLS-code,1,0.756635763735641,1.5640596465883514,True,False,nan
Model 1,17,Raw FPLS,2,0.4934654138006518,1.1274602502149031,True,False,31.074803857451503
Model 1,17,Arnoldi FPLS,2,0.493465413800749,1.127460250214818,True,False,8.287417790978647e-16
Model 1,17,FPCR,3,0.5009386487219291,1.1153633286621372,True,False,nan
Model 1,18,CG-FPLS-code,1,0.2761596442643253,0.9561678820265049,True,False,nan
Model 1,18,Raw FPLS,2,0.3547030828435444,0.9715651735111064,True,False,121.33674603493907
Model 1,18,Arnoldi FPLS,2,0.35470308284187296,0.97156517351048,True,False,5.5511154217479365e-16
Model 1,18,FPCR,5,0.2315199612074133,0.9324104218290539,True,False,nan
Model 1,19,CG-FPLS-code,1,0.6403422469318233,1.3505704630411695,True,False,nan
Model 1,19,Raw FPLS,2,0.4339926818589781,1.0006758903834765,True,False,55.96600219507057
Model 1,19,Arnoldi FPLS,2,0.4339926818590265,1.0006758903835007,True,False,2.856304455914203e-16
Model 1,19,FPCR,7,0.5027569713027435,1.0622300601735213,True,False,nan
Model 1,20,CG-FPLS-code,1,0.6111640773852042,1.4856079771469977,True,False,nan
Model 1,20,Raw FPLS,2,0.41765262998639796,1.2602736263294465,True,False,69.1762425269295
Model 1,20,Arnoldi FPLS,2,0.4176526299863599,1.2602736263294398,True,False,4.787647320856504e-16
Model 1,20,FPCR,3,0.44600944731188347,1.3077106314672196,True,False,nan
