model,method,distribution_scope,replications,s,true,mean,bias,variance,standard_deviation,median,p025,p975,minimum,maximum,skewness,excess_kurtosis
Model 1,CG-FPLS-code,all replications,5000,0.0,5.55016160288541,4.622056331057375,-0.9281052718280351,1.0459694287404468,1.0227264681919828,4.610220928546694,2.588720888261634,6.597995682341178,0.7983110732932899,8.340052888426216,-0.03273723725068314,-0.03110806761013185
Model 1,CG-FPLS-code,all replications,5000,0.25,3.648478985142894,3.757430376978945,0.1089513918360514,0.46113096595036795,0.6790662456273084,3.7767588163621024,2.381913980762175,5.083361166181953,1.297216875436857,6.139407252505716,-0.0835249817608554,0.01715678290375644
Model 1,CG-FPLS-code,all replications,5000,0.5,3.2321962748523645,3.377283969222693,0.14508769437032853,0.5152921325593633,0.7178385142630362,3.402557899132681,1.9578794373942137,4.721829979514813,0.15996659789128856,5.729914204092136,-0.15149035744412764,-0.03240594742293945
Model 1,CG-FPLS-code,all replications,5000,0.75,4.11522404011495,3.9158022763810147,-0.19942176373393528,0.4626561768308151,0.6801883392346675,3.9139582016628127,2.566044901042461,5.224153640969061,0.6485026604162559,6.252110694668668,-0.06294216213012327,0.1270956521887472
Model 1,CG-FPLS-code,all replications,5000,1.0,4.667159596791722,4.350309809630673,-0.3168497871610487,0.98800814373047,0.993985987693222,4.363261374721201,2.381070454839818,6.275279949319968,0.5167445794974485,7.7079860573313885,-0.03952879111673157,-0.07393578287547697
Model 1,Raw FPLS,archived numerically stable raw fits,4980,0.0,5.55016160288541,5.397766382466139,-0.15239522041927156,1.2980942041480967,1.1393393718063538,5.394552258514157,3.272366550526444,7.679540251682192,-1.759343023649079,11.940954745650298,0.04777332905774051,2.2991764917717195
Model 1,Raw FPLS,archived numerically stable raw fits,4980,0.25,3.648478985142894,3.603907754044138,-0.044571231098755604,0.6331695695728473,0.7957195294655318,3.628065297458183,2.059184258162949,5.094380370171367,-2.3451002948755093,7.952301628596585,-0.25455966976232025,2.626681553498951
Model 1,Raw FPLS,archived numerically stable raw fits,4980,0.5,3.2321962748523645,3.1000354031006068,-0.13216087175175772,0.6572508903252411,0.8107101148531706,3.0936673854579277,1.5966109882405186,4.706928832317531,-2.3110477827553737,8.696925530669303,0.006491727063131128,2.6691657135805595
Model 1,Raw FPLS,archived numerically stable raw fits,4980,0.75,4.11522404011495,4.034488158812165,-0.0807358813027852,0.6491178994268738,0.8056785335522313,4.035504884106202,2.4741076921653624,5.521897883060738,-2.061105540590221,12.434450742030773,0.2368313267682599,5.78012758012029
Model 1,Raw FPLS,archived numerically stable raw fits,4980,1.0,4.667159596791722,4.6714274116873105,0.004267814895588806,1.2544156780300613,1.1200069990986936,4.690655325753982,2.47764111570454,6.781833062857201,-1.782258037384917,14.62582091286477,0.0644413126267981,3.1678340158744724
Model 1,Arnoldi FPLS,all replications,5000,0.0,5.55016160288541,5.396858586887152,-0.15330301599825802,1.3600673165038895,1.1662192403248581,5.395030034342367,3.2305322884526637,7.688239348313888,-3.0866609058454633,14.758048557457098,0.02591312923176781,3.8654777964664966
Model 1,Arnoldi FPLS,all replications,5000,0.25,3.648478985142894,3.607308214263502,-0.04117077087939203,0.6927180982212351,0.832296881059418,3.6280652974602168,2.0468445257068124,5.117995796958639,-2.981437315329892,12.375948776512239,0.07469789950666178,7.181765322078977
Model 1,Arnoldi FPLS,all replications,5000,0.5,3.2321962748523645,3.1000020473625503,-0.13219422748981424,0.6833188604095647,0.8266310303935878,3.092271506786423,1.5723280917876752,4.733799018592036,-2.7350933404152187,8.696923651509577,0.0035903164994238548,3.244722420359377
Model 1,Arnoldi FPLS,all replications,5000,0.75,4.11522404011495,4.036189966703162,-0.07903407341178781,0.6923246808596452,0.8320605031244093,4.0357252148168214,2.457772335724238,5.5350140998234965,-2.060998243398996,15.214002099903633,0.6702541482998784,12.104387165680325
Model 1,Arnoldi FPLS,all replications,5000,1.0,4.667159596791722,4.673943951533838,0.00678435474211625,1.2921879795028361,1.1367444653495509,4.6896122810403735,2.459028220534726,6.817388615468063,-1.7822583720528735,14.626014654658306,0.1591015287774541,3.5297451582658486
Model 1,FPCR,all replications,5000,0.0,5.55016160288541,5.307574611438872,-0.2425869914465384,1.3123589601666366,1.1455823672554657,5.313470250493232,3.123823547619074,7.555078758242279,-1.3760499574918008,13.363782129827749,0.19360671605032714,2.2025207129132127
Model 1,FPCR,all replications,5000,0.25,3.648478985142894,3.593153737784516,-0.05532524735837763,0.6146376325856041,0.7839882860002464,3.6000458999254863,2.090468647992778,5.108036497050511,-3.1208959010301918,7.947533994675139,-0.20369011258155945,2.2605064764875795
Model 1,FPCR,all replications,5000,0.5,3.2321962748523645,3.1619362365899453,-0.07026003826241922,0.6194568990299535,0.7870558423834699,3.1708742516751385,1.642612044743431,4.67771438503108,-3.4579580861391537,7.197238919950237,-0.20099155179307762,2.2374147607474075
Model 1,FPCR,all replications,5000,0.75,4.11522404011495,4.016353046751359,-0.09887099336359118,0.6199584456782818,0.7873743999383532,4.023407021069144,2.5152895261596813,5.553613694132399,-0.5421041288358454,7.657920762837805,-0.12783967564580548,1.2969382556824804
Model 1,FPCR,all replications,5000,1.0,4.667159596791722,4.59716662848843,-0.06999296830329182,1.2325686089573322,1.1102110650490438,4.587639496511562,2.480785995869533,6.736288868771262,-1.7518988649380194,10.784256710945018,0.14634506595399227,1.3840004366916254
Model 2,CG-FPLS-code,all replications,5000,0.0,26.808409035918107,24.89638665489814,-1.9120223810199661,7.6428778520908525,2.7645755283751705,24.899250609549323,19.411349353576004,30.323085076715905,15.313113098212032,33.85574496742664,-0.06472867365820009,-0.0136681160950749
Model 2,CG-FPLS-code,all replications,5000,0.25,-9.611369501035597,-7.807369489901946,1.8040000111336507,4.298989215267048,2.073400399167283,-7.8382121537028,-11.80808856671624,-3.6261407371576118,-17.71540533710447,-0.447922643144145,0.04819347327497591,0.040367094442803175
Model 2,CG-FPLS-code,all replications,5000,0.5,3.9666189142163337,3.3533737421201555,-0.6132451720961782,3.800699143721994,1.9495381872951332,3.396180856353812,-0.4960789452440787,7.18647582802356,-3.8771594178032327,10.714651172618998,-0.029499865574847697,0.06605096092096208
Model 2,CG-FPLS-code,all replications,5000,0.75,6.333431424988685,5.915239352785812,-0.41819207220287336,3.9957468209491998,1.9989364224379924,5.900457459191799,2.056965453998627,9.799350796472849,-1.201687328662904,13.036484028831392,0.017940447953697317,0.03129187818735568
