analysis,variant,variant_role,instrument,repeat,outer_fold,evaluation_index_scope,method,status,error_type,error_message,selected_components,criterion_name,runtime_seconds,intercept,numerical_positive_rank,eigenvalue_threshold,pilot_components,threshold,threshold_reached,sigma2,moment_residual_m0,effective_dimension,selected_beyond_effective_dimension,selected_at_cap,path_cap,processed_grid_size,shared_fpcr_path_seconds,training_rmse,training_bias,coefficient_norm,coefficient_max_abs,prediction_finite,inner_fold_failures,inner_error_messages,selected_basis_condition,selected_design_condition,instability_flag,inner_effective_dimension_min,inner_effective_dimension_max,rank_breakdown,selected_orthogonality_defect,selected_eigenvalue,selected_spectral_condition
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,ok,,,3,discrepancy_moment,0.057180088999302825,168.01942458929807,155.0,3.708106468755596e-15,70.0,0.18707260626785407,True,7.89260158978581,1.401456607740885,70.0,False,False,70,650,0.03654876799919293,5.824014292256856,6.467760799867578e-14,18691.808641164316,2737.736819848701,True,,,,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,Raw FPLS,ok,,,41,inner_cv_mse,0.307018400000743,113.96552278801724,,,,,,,,70.0,,False,70,650,,4.290664348415528,9.05486511981461e-14,21949.21388635718,3045.7152265049767,True,0.0,,4503599627370496.0,4503599627370496.0,True,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,Arnoldi FPLS,ok,,,5,inner_cv_mse,0.35847790600200824,112.49397623717567,,,,,,,,70.0,,False,70,650,,4.287000202321837,8.890893719254587e-14,21907.577035840564,3040.3879425228597,True,0.0,,1.0000000000000004,11.688907474638887,False,70.0,70.0,False,7.510306007027418e-16,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,FPCR,ok,,,33,response_gcv,0.03801056799784419,50.95152318888668,155.0,3.708106468755596e-15,,,,,,,,False,70,650,0.03654876799919293,3.5747527272007416,1.1350464727654934e-13,27261.353270574957,7068.5609427239515,True,,,,,,,,,,1.2222958682592354e-05,2101.949459915364
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,2,development_combined,CG-FPLS-code,ok,,,3,discrepancy_moment,0.05201872299949173,111.7397636986086,155.0,3.4635650924808272e-15,70.0,0.1931658550861132,True,8.98589664130323,1.4363940657559884,70.0,False,False,70,650,0.03260205699916696,5.5464116292567205,1.858342539680262e-14,19124.716836056825,2950.106144256817,True,,,,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,2,development_combined,Raw FPLS,ok,,,63,inner_cv_mse,0.3122818019983242,143.6422878735575,,,,,,,,69.0,,False,70,650,,4.469014195185861,1.3299902489868542e-14,21812.7722633416,3169.3165031075478,True,0.0,,4503599627370496.0,4503599627370496.0,True,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,2,development_combined,Arnoldi FPLS,ok,,,6,inner_cv_mse,0.33429849299682246,104.83607345351166,,,,,,,,70.0,,False,70,650,,4.126417371816215,2.7328566760003854e-14,22944.597953341145,3213.28482641057,True,0.0,,1.0000000000000004,18.990838161487225,False,70.0,70.0,False,5.7136178807802585e-16,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,2,development_combined,FPCR,ok,,,14,response_gcv,0.03406966500006092,130.92951280773562,155.0,3.4635650924808272e-15,,,,,,,,False,70,650,0.03260205699916696,4.525117654637099,2.168066296293639e-14,21922.853509727403,2810.3931016246183,True,,,,,,,,,,4.932886075310017e-05,486.484139982738
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,3,development_combined,CG-FPLS-code,ok,,,3,discrepancy_moment,0.05313424200176087,131.8130440279505,155.0,3.964700068719999e-15,70.0,0.19937537176021417,True,8.42903524173901,1.4993843421233874,70.0,False,False,70,650,0.032480147001479054,4.835778336794833,7.579122514774402e-14,20121.08927873277,2996.7849166549995,True,,,,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,3,development_combined,Raw FPLS,ok,,,66,inner_cv_mse,0.2823796860011498,91.04122343438705,,,,,,,,69.0,,False,70,650,,4.408083862996883,8.435417606587856e-14,21068.53422285304,3025.894259661436,True,0.0,,4503599627370496.0,4503599627370496.0,True,,,,,,
