analysis,variant,variant_role,instrument,repeat,outer_fold,evaluation_index_scope,method,fit_status,evaluation_status,evaluation_prediction_finite,selected_components,rmse,mae,bias,r2
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,ok,ok,True,3,5.716983978480173,4.365734435849284,-0.03869555706198578,0.9172260134361713
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,Raw FPLS,ok,ok,True,41,4.972745921675494,3.453066968661748,-0.6095202088212768,0.9373743189657456
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,Arnoldi FPLS,ok,ok,True,5,4.973779832640761,3.4638073361219384,-0.6084173982670222,0.9373482745586722
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,FPCR,ok,ok,True,33,6.598633016514516,4.406973855785976,0.04191138377413495,0.8897273342590624
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,2,development_combined,CG-FPLS-code,ok,ok,True,3,5.519138618325047,4.643503137329161,0.5461303561257157,0.9225387612790846
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,2,development_combined,Raw FPLS,ok,ok,True,63,4.589857736580907,2.9771506684293305,-0.042354043067427065,0.9464277010923291
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,2,development_combined,Arnoldi FPLS,ok,ok,True,6,4.410257058507097,2.9230740734589915,-0.1439215489383332,0.9505382314003633
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,2,development_combined,FPCR,ok,ok,True,14,4.583169821051155,3.0828775993048714,0.013784181674755048,0.9465837085326707
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,3,development_combined,CG-FPLS-code,ok,ok,True,3,6.179269382053381,4.529203381922145,-0.1443941955190524,0.8961583611767842
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,3,development_combined,Raw FPLS,ok,ok,True,66,5.705057490128616,4.26068937776331,-0.1696077444553798,0.9114849076214397
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,3,development_combined,Arnoldi FPLS,ok,ok,True,5,5.376597731821995,3.920173913361482,0.11451024399738831,0.9213837424934289
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,3,development_combined,FPCR,ok,ok,True,39,6.08617390938078,4.339459079500406,0.26125251091289964,0.8992637006710221
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,4,development_combined,CG-FPLS-code,ok,ok,True,3,6.016822478121987,4.72257681330637,0.2861525824775886,0.9031875892565528
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,4,development_combined,Raw FPLS,ok,ok,True,20,4.69346691426672,3.408056619286957,0.36418029822304915,0.9410906596195578
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,4,development_combined,Arnoldi FPLS,ok,ok,True,5,4.698712879693614,3.4139450972116707,0.36150546426700114,0.9409588981408358
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,4,development_combined,FPCR,ok,ok,True,56,6.1637287605686835,4.647988440591399,2.050769436919184,0.8984023467679249
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,5,development_combined,CG-FPLS-code,ok,ok,True,3,6.469455914494732,5.1264675013535355,-0.5209478330366044,0.8917508972454888
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,5,development_combined,Raw FPLS,ok,ok,True,4,4.149408246000147,3.2580195074019533,-0.12431690792913831,0.9554691360386884
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,5,development_combined,Arnoldi FPLS,ok,ok,True,4,4.149408177851634,3.2580194913829894,-0.12431687169565354,0.9554691375014088
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,5,development_combined,FPCR,ok,ok,True,7,4.306704136016821,3.4382222653688985,0.10260422045417254,0.9520289897490269
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,1,development_combined,CG-FPLS-code,ok,ok,True,3,7.083525298500137,5.578436579154676,-1.2794229952113285,0.8738080821298644
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,1,development_combined,Raw FPLS,ok,ok,True,15,5.8555316979934995,3.928894901083436,-1.2675612655711825,0.9137686242780503
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,1,development_combined,Arnoldi FPLS,ok,ok,True,6,6.197456119500642,3.882278615315016,-1.2140638668912844,0.9034039065120185
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,1,development_combined,FPCR,ok,ok,True,39,7.1072106984157095,4.089482763181494,-1.6017213052985693,0.8729627676959015
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,2,development_combined,CG-FPLS-code,ok,ok,True,3,5.415293703390767,4.39345878863574,-0.011506886205954569,0.9209719953589816
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,2,development_combined,Raw FPLS,ok,ok,True,70,4.682552659859693,3.433872210410369,-0.7250005709596034,0.9409115871069403
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,2,development_combined,Arnoldi FPLS,ok,ok,True,5,4.378417170597929,3.323079687171061,-0.538968225812472,0.9483379944971695
