analysis,variant,instrument,repeat,method,rmse,mae,bias,r2,observations,failed_predictions
development_repeated_nested_cv,primary_instrument1_full,1,1,CG-FPLS-code,5.9897275323222035,4.677497053952099,0.025649070597132367,0.9063984180697493,195,0
development_repeated_nested_cv,primary_instrument1_full,1,1,Raw FPLS,4.849513325614331,3.4713966283086597,-0.11632372121003458,0.9386428231943149,195,0
development_repeated_nested_cv,primary_instrument1_full,1,1,Arnoldi FPLS,4.741142209800287,3.395803982307415,-0.08012802212732391,0.9413544560798959,195,0
development_repeated_nested_cv,primary_instrument1_full,1,1,FPCR,5.623667289225116,3.9831042481103096,0.4940643467470292,0.9174896761060244,195,0
development_repeated_nested_cv,primary_instrument1_full,1,2,CG-FPLS-code,5.924298661015794,4.600974750708991,0.029354209869084786,0.908432165576051,195,0
development_repeated_nested_cv,primary_instrument1_full,1,2,Raw FPLS,4.95987577474243,3.552553408938448,-0.16504306558555315,0.9358183832445357,195,0
development_repeated_nested_cv,primary_instrument1_full,1,2,Arnoldi FPLS,5.083809833493439,3.5421190319670646,-0.11306125679280603,0.9325708557478222,195,0
development_repeated_nested_cv,primary_instrument1_full,1,2,FPCR,5.504712667363903,3.8272886716723558,-0.4543556552353805,0.9209433578943982,195,0
development_repeated_nested_cv,primary_instrument1_full,1,3,CG-FPLS-code,5.982784485792589,4.587749287916333,-0.01027034608798046,0.9066152905327717,195,0
development_repeated_nested_cv,primary_instrument1_full,1,3,Raw FPLS,5.997274360659238,4.3793370167874235,-0.6664750605768722,0.9061624006273806,195,0
development_repeated_nested_cv,primary_instrument1_full,1,3,Arnoldi FPLS,4.83822840538217,3.4870944728052953,-0.057170328606351774,0.9389280498437261,195,0
development_repeated_nested_cv,primary_instrument1_full,1,3,FPCR,5.074126196382175,3.5961424545155274,-0.3908873482747529,0.9328274890629054,195,0
development_repeated_nested_cv,primary_instrument1_full,1,4,CG-FPLS-code,5.784137441074049,4.423243661592399,0.013746775218392352,0.9127136642456113,195,0
development_repeated_nested_cv,primary_instrument1_full,1,4,Raw FPLS,4.8442749689692235,3.5086409558169867,-0.002901540259717614,0.938775305430045,195,0
development_repeated_nested_cv,primary_instrument1_full,1,4,Arnoldi FPLS,4.95418389721988,3.5609673914916233,-0.014747867934956142,0.9359656064025469,195,0
development_repeated_nested_cv,primary_instrument1_full,1,4,FPCR,5.395885106861119,3.9261200998003973,0.0620028179488002,0.9240383408607259,195,0
development_repeated_nested_cv,primary_instrument1_full,1,5,CG-FPLS-code,5.939507126014535,4.472703992534236,-0.03203413156519664,0.9079614284348,195,0
development_repeated_nested_cv,primary_instrument1_full,1,5,Raw FPLS,4.759887109951632,3.4451673844238497,-0.01163373371504836,0.9408898093937793,195,0
development_repeated_nested_cv,primary_instrument1_full,1,5,Arnoldi FPLS,4.965265664021321,3.5208139723735927,-0.11400370561534762,0.9356788153256804,195,0
development_repeated_nested_cv,primary_instrument1_full,1,5,FPCR,5.222262191676282,3.575087024868263,-0.20153609927230356,0.9288481167835659,195,0
development_source_contiguous_cv,primary_instrument1_full,1,1,CG-FPLS-code,6.148662300404293,4.716011931897599,-0.012982531239894493,0.9013651617448805,195,0
development_source_contiguous_cv,primary_instrument1_full,1,1,Raw FPLS,4.912685506230668,3.6326147526358956,0.013047219929288263,0.9370338731069205,195,0
development_source_contiguous_cv,primary_instrument1_full,1,1,Arnoldi FPLS,5.1200865668101745,3.699983991367222,-0.02566480069724038,0.9316051089710637,195,0
development_source_contiguous_cv,primary_instrument1_full,1,1,FPCR,5.3484656319697885,3.824964693483361,0.20512508554209355,0.9253675887268835,195,0
original_split_sensitivity,primary_instrument1_full,1,1,CG-FPLS-code,5.99785494213711,4.820366810676183,2.1086347447876825,-5.442409767085701,40,0
original_split_sensitivity,primary_instrument1_full,1,1,Raw FPLS,4.131718219707992,3.5664614231366407,1.4600468011936663,-2.057157537054856,40,0
original_split_sensitivity,primary_instrument1_full,1,1,Arnoldi FPLS,4.150192479370548,3.5581865497925405,1.405693300669269,-2.084557754858758,40,0
original_split_sensitivity,primary_instrument1_full,1,1,FPCR,3.977993120824332,3.4305364499152526,1.5115564928500695,-1.8338997553096363,40,0
