analysis,repeat,outer_fold,assignment_level,index_scope,fold,data_index_zero_based,tablet_id,source_split,source_row_one_based
development_repeated_nested_cv,1,1,inner_validation,outer_training_local,1,1,calibrate:002,calibrate,2
development_repeated_nested_cv,1,1,inner_validation,outer_training_local,1,4,calibrate:008,calibrate,8
development_repeated_nested_cv,1,1,inner_validation,outer_training_local,1,6,calibrate:011,calibrate,11
development_repeated_nested_cv,1,1,inner_validation,outer_training_local,1,8,calibrate:014,calibrate,14
development_repeated_nested_cv,1,1,inner_validation,outer_training_local,1,17,calibrate:025,calibrate,25
development_repeated_nested_cv,1,1,inner_validation,outer_training_local,1,25,calibrate:034,calibrate,34
development_repeated_nested_cv,1,1,inner_validation,outer_training_local,1,33,calibrate:045,calibrate,45
development_repeated_nested_cv,1,1,inner_validation,outer_training_local,1,39,calibrate:056,calibrate,56
development_repeated_nested_cv,1,1,inner_validation,outer_training_local,1,43,calibrate:060,calibrate,60
development_repeated_nested_cv,1,1,inner_validation,outer_training_local,1,49,calibrate:066,calibrate,66
development_repeated_nested_cv,1,1,inner_validation,outer_training_local,1,52,calibrate:069,calibrate,69
development_repeated_nested_cv,1,1,inner_validation,outer_training_local,1,54,calibrate:071,calibrate,71
development_repeated_nested_cv,1,1,inner_validation,outer_training_local,1,55,calibrate:072,calibrate,72
development_repeated_nested_cv,1,1,inner_validation,outer_training_local,1,67,calibrate:086,calibrate,86
development_repeated_nested_cv,1,1,inner_validation,outer_training_local,1,71,calibrate:091,calibrate,91
development_repeated_nested_cv,1,1,inner_validation,outer_training_local,1,81,calibrate:103,calibrate,103
development_repeated_nested_cv,1,1,inner_validation,outer_training_local,1,88,calibrate:114,calibrate,114
development_repeated_nested_cv,1,1,inner_validation,outer_training_local,1,89,calibrate:115,calibrate,115
development_repeated_nested_cv,1,1,inner_validation,outer_training_local,1,97,calibrate:124,calibrate,124
development_repeated_nested_cv,1,1,inner_validation,outer_training_local,1,102,calibrate:132,calibrate,132
development_repeated_nested_cv,1,1,inner_validation,outer_training_local,1,103,calibrate:133,calibrate,133
development_repeated_nested_cv,1,1,inner_validation,outer_training_local,1,106,calibrate:136,calibrate,136
development_repeated_nested_cv,1,1,inner_validation,outer_training_local,1,113,calibrate:144,calibrate,144
