analysis,repeat,assignment_level,index_scope,fold,data_index_zero_based,tablet_id,source_split,source_row_one_based
development_repeated_nested_cv,1,outer_validation,development_combined,1,2,calibrate:003,calibrate,3
development_repeated_nested_cv,1,outer_validation,development_combined,1,3,calibrate:004,calibrate,4
development_repeated_nested_cv,1,outer_validation,development_combined,1,5,calibrate:006,calibrate,6
development_repeated_nested_cv,1,outer_validation,development_combined,1,9,calibrate:010,calibrate,10
development_repeated_nested_cv,1,outer_validation,development_combined,1,11,calibrate:012,calibrate,12
development_repeated_nested_cv,1,outer_validation,development_combined,1,15,calibrate:016,calibrate,16
development_repeated_nested_cv,1,outer_validation,development_combined,1,16,calibrate:017,calibrate,17
development_repeated_nested_cv,1,outer_validation,development_combined,1,27,calibrate:028,calibrate,28
development_repeated_nested_cv,1,outer_validation,development_combined,1,35,calibrate:036,calibrate,36
development_repeated_nested_cv,1,outer_validation,development_combined,1,40,calibrate:041,calibrate,41
development_repeated_nested_cv,1,outer_validation,development_combined,1,42,calibrate:043,calibrate,43
development_repeated_nested_cv,1,outer_validation,development_combined,1,46,calibrate:047,calibrate,47
development_repeated_nested_cv,1,outer_validation,development_combined,1,49,calibrate:050,calibrate,50
development_repeated_nested_cv,1,outer_validation,development_combined,1,50,calibrate:051,calibrate,51
development_repeated_nested_cv,1,outer_validation,development_combined,1,51,calibrate:052,calibrate,52
development_repeated_nested_cv,1,outer_validation,development_combined,1,54,calibrate:055,calibrate,55
development_repeated_nested_cv,1,outer_validation,development_combined,1,73,calibrate:074,calibrate,74
development_repeated_nested_cv,1,outer_validation,development_combined,1,81,calibrate:082,calibrate,82
development_repeated_nested_cv,1,outer_validation,development_combined,1,88,calibrate:089,calibrate,89
development_repeated_nested_cv,1,outer_validation,development_combined,1,93,calibrate:094,calibrate,94
development_repeated_nested_cv,1,outer_validation,development_combined,1,100,calibrate:101,calibrate,101
development_repeated_nested_cv,1,outer_validation,development_combined,1,103,calibrate:104,calibrate,104
development_repeated_nested_cv,1,outer_validation,development_combined,1,104,calibrate:105,calibrate,105
development_repeated_nested_cv,1,outer_validation,development_combined,1,107,calibrate:108,calibrate,108
development_repeated_nested_cv,1,outer_validation,development_combined,1,111,calibrate:112,calibrate,112
development_repeated_nested_cv,1,outer_validation,development_combined,1,119,calibrate:120,calibrate,120
development_repeated_nested_cv,1,outer_validation,development_combined,1,125,calibrate:126,calibrate,126
development_repeated_nested_cv,1,outer_validation,development_combined,1,129,calibrate:130,calibrate,130
development_repeated_nested_cv,1,outer_validation,development_combined,1,130,calibrate:131,calibrate,131
development_repeated_nested_cv,1,outer_validation,development_combined,1,137,calibrate:138,calibrate,138
development_repeated_nested_cv,1,outer_validation,development_combined,1,144,calibrate:145,calibrate,145
development_repeated_nested_cv,1,outer_validation,development_combined,1,158,validate:004,validate,4
development_repeated_nested_cv,1,outer_validation,development_combined,1,166,validate:012,validate,12
development_repeated_nested_cv,1,outer_validation,development_combined,1,168,validate:014,validate,14
development_repeated_nested_cv,1,outer_validation,development_combined,1,169,validate:015,validate,15
development_repeated_nested_cv,1,outer_validation,development_combined,1,178,validate:024,validate,24
development_repeated_nested_cv,1,outer_validation,development_combined,1,179,validate:025,validate,25
development_repeated_nested_cv,1,outer_validation,development_combined,1,190,validate:036,validate,36
development_repeated_nested_cv,1,outer_validation,development_combined,1,191,validate:037,validate,37
development_repeated_nested_cv,1,outer_validation,development_combined,2,6,calibrate:007,calibrate,7
development_repeated_nested_cv,1,outer_validation,development_combined,2,8,calibrate:009,calibrate,9
development_repeated_nested_cv,1,outer_validation,development_combined,2,13,calibrate:014,calibrate,14
development_repeated_nested_cv,1,outer_validation,development_combined,2,20,calibrate:021,calibrate,21
development_repeated_nested_cv,1,outer_validation,development_combined,2,32,calibrate:033,calibrate,33
development_repeated_nested_cv,1,outer_validation,development_combined,2,33,calibrate:034,calibrate,34
development_repeated_nested_cv,1,outer_validation,development_combined,2,37,calibrate:038,calibrate,38
development_repeated_nested_cv,1,outer_validation,development_combined,2,39,calibrate:040,calibrate,40
development_repeated_nested_cv,1,outer_validation,development_combined,2,43,calibrate:044,calibrate,44
development_repeated_nested_cv,1,outer_validation,development_combined,2,47,calibrate:048,calibrate,48
development_repeated_nested_cv,1,outer_validation,development_combined,2,61,calibrate:062,calibrate,62
development_repeated_nested_cv,1,outer_validation,development_combined,2,67,calibrate:068,calibrate,68
development_repeated_nested_cv,1,outer_validation,development_combined,2,69,calibrate:070,calibrate,70
development_repeated_nested_cv,1,outer_validation,development_combined,2,71,calibrate:072,calibrate,72
development_repeated_nested_cv,1,outer_validation,development_combined,2,76,calibrate:077,calibrate,77
development_repeated_nested_cv,1,outer_validation,development_combined,2,79,calibrate:080,calibrate,80
development_repeated_nested_cv,1,outer_validation,development_combined,2,89,calibrate:090,calibrate,90
development_repeated_nested_cv,1,outer_validation,development_combined,2,90,calibrate:091,calibrate,91
development_repeated_nested_cv,1,outer_validation,development_combined,2,95,calibrate:096,calibrate,96
development_repeated_nested_cv,1,outer_validation,development_combined,2,96,calibrate:097,calibrate,97
development_repeated_nested_cv,1,outer_validation,development_combined,2,99,calibrate:100,calibrate,100
development_repeated_nested_cv,1,outer_validation,development_combined,2,108,calibrate:109,calibrate,109
development_repeated_nested_cv,1,outer_validation,development_combined,2,110,calibrate:111,calibrate,111
development_repeated_nested_cv,1,outer_validation,development_combined,2,120,calibrate:121,calibrate,121
development_repeated_nested_cv,1,outer_validation,development_combined,2,121,calibrate:122,calibrate,122
development_repeated_nested_cv,1,outer_validation,development_combined,2,127,calibrate:128,calibrate,128
development_repeated_nested_cv,1,outer_validation,development_combined,2,134,calibrate:135,calibrate,135
development_repeated_nested_cv,1,outer_validation,development_combined,2,135,calibrate:136,calibrate,136
development_repeated_nested_cv,1,outer_validation,development_combined,2,142,calibrate:143,calibrate,143
development_repeated_nested_cv,1,outer_validation,development_combined,2,148,calibrate:149,calibrate,149
development_repeated_nested_cv,1,outer_validation,development_combined,2,150,calibrate:151,calibrate,151
development_repeated_nested_cv,1,outer_validation,development_combined,2,156,validate:002,validate,2
development_repeated_nested_cv,1,outer_validation,development_combined,2,163,validate:009,validate,9
