analysis,repeat,assignment_level,index_scope,fold,data_index_zero_based,tablet_id,source_split,source_row_one_based
final_development_fit,1,inner_validation,development_combined,1,9,calibrate:010,calibrate,10
final_development_fit,1,inner_validation,development_combined,1,12,calibrate:013,calibrate,13
final_development_fit,1,inner_validation,development_combined,1,17,calibrate:018,calibrate,18
final_development_fit,1,inner_validation,development_combined,1,42,calibrate:043,calibrate,43
final_development_fit,1,inner_validation,development_combined,1,43,calibrate:044,calibrate,44
final_development_fit,1,inner_validation,development_combined,1,48,calibrate:049,calibrate,49
final_development_fit,1,inner_validation,development_combined,1,49,calibrate:050,calibrate,50
final_development_fit,1,inner_validation,development_combined,1,68,calibrate:069,calibrate,69
final_development_fit,1,inner_validation,development_combined,1,72,calibrate:073,calibrate,73
final_development_fit,1,inner_validation,development_combined,1,73,calibrate:074,calibrate,74
final_development_fit,1,inner_validation,development_combined,1,75,calibrate:076,calibrate,76
final_development_fit,1,inner_validation,development_combined,1,76,calibrate:077,calibrate,77
final_development_fit,1,inner_validation,development_combined,1,79,calibrate:080,calibrate,80
final_development_fit,1,inner_validation,development_combined,1,90,calibrate:091,calibrate,91
final_development_fit,1,inner_validation,development_combined,1,93,calibrate:094,calibrate,94
final_development_fit,1,inner_validation,development_combined,1,95,calibrate:096,calibrate,96
final_development_fit,1,inner_validation,development_combined,1,97,calibrate:098,calibrate,98
final_development_fit,1,inner_validation,development_combined,1,100,calibrate:101,calibrate,101
final_development_fit,1,inner_validation,development_combined,1,104,calibrate:105,calibrate,105
final_development_fit,1,inner_validation,development_combined,1,109,calibrate:110,calibrate,110
final_development_fit,1,inner_validation,development_combined,1,112,calibrate:113,calibrate,113
final_development_fit,1,inner_validation,development_combined,1,120,calibrate:121,calibrate,121
final_development_fit,1,inner_validation,development_combined,1,121,calibrate:122,calibrate,122
final_development_fit,1,inner_validation,development_combined,1,123,calibrate:124,calibrate,124
final_development_fit,1,inner_validation,development_combined,1,126,calibrate:127,calibrate,127
final_development_fit,1,inner_validation,development_combined,1,136,calibrate:137,calibrate,137
final_development_fit,1,inner_validation,development_combined,1,141,calibrate:142,calibrate,142
final_development_fit,1,inner_validation,development_combined,1,145,calibrate:146,calibrate,146
final_development_fit,1,inner_validation,development_combined,1,146,calibrate:147,calibrate,147
final_development_fit,1,inner_validation,development_combined,1,152,calibrate:153,calibrate,153
final_development_fit,1,inner_validation,development_combined,1,153,calibrate:154,calibrate,154
final_development_fit,1,inner_validation,development_combined,1,155,validate:001,validate,1
final_development_fit,1,inner_validation,development_combined,1,170,validate:016,validate,16
final_development_fit,1,inner_validation,development_combined,1,174,validate:020,validate,20
final_development_fit,1,inner_validation,development_combined,1,177,validate:023,validate,23
final_development_fit,1,inner_validation,development_combined,1,182,validate:028,validate,28
final_development_fit,1,inner_validation,development_combined,1,183,validate:029,validate,29
final_development_fit,1,inner_validation,development_combined,1,185,validate:031,validate,31
final_development_fit,1,inner_validation,development_combined,1,193,validate:039,validate,39
final_development_fit,1,inner_validation,development_combined,2,2,calibrate:003,calibrate,3
final_development_fit,1,inner_validation,development_combined,2,3,calibrate:004,calibrate,4
final_development_fit,1,inner_validation,development_combined,2,18,calibrate:019,calibrate,19
final_development_fit,1,inner_validation,development_combined,2,20,calibrate:021,calibrate,21
final_development_fit,1,inner_validation,development_combined,2,25,calibrate:026,calibrate,26
final_development_fit,1,inner_validation,development_combined,2,29,calibrate:030,calibrate,30
final_development_fit,1,inner_validation,development_combined,2,31,calibrate:032,calibrate,32
final_development_fit,1,inner_validation,development_combined,2,33,calibrate:034,calibrate,34
final_development_fit,1,inner_validation,development_combined,2,37,calibrate:038,calibrate,38
final_development_fit,1,inner_validation,development_combined,2,39,calibrate:040,calibrate,40
final_development_fit,1,inner_validation,development_combined,2,41,calibrate:042,calibrate,42
final_development_fit,1,inner_validation,development_combined,2,44,calibrate:045,calibrate,45
final_development_fit,1,inner_validation,development_combined,2,53,calibrate:054,calibrate,54
final_development_fit,1,inner_validation,development_combined,2,55,calibrate:056,calibrate,56
final_development_fit,1,inner_validation,development_combined,2,67,calibrate:068,calibrate,68
final_development_fit,1,inner_validation,development_combined,2,77,calibrate:078,calibrate,78
final_development_fit,1,inner_validation,development_combined,2,80,calibrate:081,calibrate,81
final_development_fit,1,inner_validation,development_combined,2,84,calibrate:085,calibrate,85
final_development_fit,1,inner_validation,development_combined,2,92,calibrate:093,calibrate,93
final_development_fit,1,inner_validation,development_combined,2,94,calibrate:095,calibrate,95
final_development_fit,1,inner_validation,development_combined,2,98,calibrate:099,calibrate,99
final_development_fit,1,inner_validation,development_combined,2,99,calibrate:100,calibrate,100
final_development_fit,1,inner_validation,development_combined,2,102,calibrate:103,calibrate,103
final_development_fit,1,inner_validation,development_combined,2,108,calibrate:109,calibrate,109
final_development_fit,1,inner_validation,development_combined,2,110,calibrate:111,calibrate,111
final_development_fit,1,inner_validation,development_combined,2,131,calibrate:132,calibrate,132
final_development_fit,1,inner_validation,development_combined,2,132,calibrate:133,calibrate,133
final_development_fit,1,inner_validation,development_combined,2,133,calibrate:134,calibrate,134
final_development_fit,1,inner_validation,development_combined,2,134,calibrate:135,calibrate,135
final_development_fit,1,inner_validation,development_combined,2,147,calibrate:148,calibrate,148
final_development_fit,1,inner_validation,development_combined,2,148,calibrate:149,calibrate,149
final_development_fit,1,inner_validation,development_combined,2,162,validate:008,validate,8
final_development_fit,1,inner_validation,development_combined,2,164,validate:010,validate,10
final_development_fit,1,inner_validation,development_combined,2,168,validate:014,validate,14
final_development_fit,1,inner_validation,development_combined,2,169,validate:015,validate,15
final_development_fit,1,inner_validation,development_combined,2,173,validate:019,validate,19
final_development_fit,1,inner_validation,development_combined,2,176,validate:022,validate,22
final_development_fit,1,inner_validation,development_combined,2,179,validate:025,validate,25
final_development_fit,1,inner_validation,development_combined,2,189,validate:035,validate,35
final_development_fit,1,inner_validation,development_combined,3,13,calibrate:014,calibrate,14
final_development_fit,1,inner_validation,development_combined,3,14,calibrate:015,calibrate,15
final_development_fit,1,inner_validation,development_combined,3,15,calibrate:016,calibrate,16
final_development_fit,1,inner_validation,development_combined,3,16,calibrate:017,calibrate,17
final_development_fit,1,inner_validation,development_combined,3,23,calibrate:024,calibrate,24
final_development_fit,1,inner_validation,development_combined,3,35,calibrate:036,calibrate,36
final_development_fit,1,inner_validation,development_combined,3,36,calibrate:037,calibrate,37
final_development_fit,1,inner_validation,development_combined,3,52,calibrate:053,calibrate,53
final_development_fit,1,inner_validation,development_combined,3,57,calibrate:058,calibrate,58
final_development_fit,1,inner_validation,development_combined,3,61,calibrate:062,calibrate,62
final_development_fit,1,inner_validation,development_combined,3,64,calibrate:065,calibrate,65
final_development_fit,1,inner_validation,development_combined,3,65,calibrate:066,calibrate,66
final_development_fit,1,inner_validation,development_combined,3,78,calibrate:079,calibrate,79
final_development_fit,1,inner_validation,development_combined,3,82,calibrate:083,calibrate,83
final_development_fit,1,inner_validation,development_combined,3,86,calibrate:087,calibrate,87
final_development_fit,1,inner_validation,development_combined,3,88,calibrate:089,calibrate,89
final_development_fit,1,inner_validation,development_combined,3,103,calibrate:104,calibrate,104
final_development_fit,1,inner_validation,development_combined,3,106,calibrate:107,calibrate,107
final_development_fit,1,inner_validation,development_combined,3,107,calibrate:108,calibrate,108
final_development_fit,1,inner_validation,development_combined,3,115,calibrate:116,calibrate,116
final_development_fit,1,inner_validation,development_combined,3,118,calibrate:119,calibrate,119
