analysis,variant,variant_role,instrument,repeat,outer_fold,evaluation_index_scope,method,fit_status,evaluation_status,evaluation_prediction_finite,selected_components,rmse,mae,bias,r2
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,ok,ok,True,3,5.716983978480202,4.365734435849302,-0.038695557062040434,0.9172260134361705
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,Raw FPLS,ok,ok,True,35,4.973476522564451,3.4349892907322315,-0.607844592907168,0.9373559155564036
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,Arnoldi FPLS,ok,ok,True,5,4.9737798326407585,3.463807336121937,-0.6084173982670251,0.9373482745586722
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,FPCR,ok,ok,True,33,6.59863301651446,4.406973855785958,0.041911383774149526,0.8897273342590641
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,2,development_combined,CG-FPLS-code,ok,ok,True,3,5.519138618325031,4.643503137329206,0.5461303561258942,0.9225387612790852
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,2,development_combined,Raw FPLS,ok,ok,True,6,4.473145908609245,2.938331676851049,0.02992262430280754,0.949117556032041
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,2,development_combined,Arnoldi FPLS,ok,ok,True,6,4.410257058507096,2.9230740734589995,-0.14392154893833392,0.9505382314003633
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,2,development_combined,FPCR,ok,ok,True,14,4.583169821051151,3.0828775993048905,0.013784181674762336,0.9465837085326707
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,3,development_combined,CG-FPLS-code,ok,ok,True,3,6.179269382053377,4.529203381922162,-0.14439419551905602,0.8961583611767843
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,3,development_combined,Raw FPLS,ok,ok,True,64,5.602847090030023,4.15519159051847,-0.11375291572144218,0.9146281256009225
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,3,development_combined,Arnoldi FPLS,ok,ok,True,5,5.376597731821992,3.920173913361484,0.11451024399739122,0.921383742493429
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,3,development_combined,FPCR,ok,ok,True,39,6.086173909380777,4.339459079500347,0.2612525109129193,0.8992637006710222
