analysis,variant,instrument,repeat,method,rmse,mae,bias,r2,observations,failed_predictions
development_repeated_nested_cv,primary_instrument1_full,1,1,CG-FPLS-code,5.989727532322187,4.677497053952102,0.025649070597180468,0.9063984180697497,195,0
development_repeated_nested_cv,primary_instrument1_full,1,1,Raw FPLS,4.800214222563246,3.432833594123885,-0.08717804587704188,0.9398839699138754,195,0
development_repeated_nested_cv,primary_instrument1_full,1,1,Arnoldi FPLS,4.741142209800284,3.3958039823074153,-0.08012802212732187,0.9413544560798959,195,0
development_repeated_nested_cv,primary_instrument1_full,1,1,FPCR,5.623667289225119,3.9831042481103487,0.49406434674695693,0.9174896761060243,195,0
development_repeated_nested_cv,primary_instrument1_full,1,2,CG-FPLS-code,5.924298661015803,4.600974750709018,0.029354209869093095,0.9084321655760508,195,0
development_repeated_nested_cv,primary_instrument1_full,1,2,Raw FPLS,4.883750131202428,3.5743351446179594,-0.10643117672059171,0.9377734209239478,195,0
development_repeated_nested_cv,primary_instrument1_full,1,2,Arnoldi FPLS,5.083809833493444,3.5421190319670712,-0.11306125679280515,0.9325708557478221,195,0
development_repeated_nested_cv,primary_instrument1_full,1,2,FPCR,5.504712667363823,3.827288671672287,-0.4543556552354022,0.9209433578944005,195,0
development_repeated_nested_cv,primary_instrument1_full,1,3,CG-FPLS-code,5.982784485792571,4.587749287916303,-0.010270346087962387,0.9066152905327722,195,0
development_repeated_nested_cv,primary_instrument1_full,1,3,Raw FPLS,4.802201185896046,3.4930892379501097,0.05889056682057612,0.9398341916899399,195,0
development_repeated_nested_cv,primary_instrument1_full,1,3,Arnoldi FPLS,4.8382284053821705,3.487094472805295,-0.05717032860635046,0.9389280498437261,195,0
development_repeated_nested_cv,primary_instrument1_full,1,3,FPCR,5.074126196382183,3.596142454515587,-0.39088734827474253,0.9328274890629052,195,0
development_repeated_nested_cv,primary_instrument1_full,1,4,CG-FPLS-code,5.78413744107418,4.423243661592541,0.013746775218326764,0.9127136642456073,195,0
development_repeated_nested_cv,primary_instrument1_full,1,4,Raw FPLS,4.8348966210517625,3.5061700135500766,-0.01886016821769673,0.9390121337223918,195,0
development_repeated_nested_cv,primary_instrument1_full,1,4,Arnoldi FPLS,4.954183897219885,3.560967391491627,-0.01474786793495687,0.9359656064025468,195,0
development_repeated_nested_cv,primary_instrument1_full,1,4,FPCR,5.39588510686113,3.926120099800395,0.062002817948791596,0.9240383408607256,195,0
development_repeated_nested_cv,primary_instrument1_full,1,5,CG-FPLS-code,5.939507126014528,4.472703992534238,-0.03203413156519606,0.9079614284348002,195,0
development_repeated_nested_cv,primary_instrument1_full,1,5,Raw FPLS,4.795377890616173,3.4754208587014452,-0.002427044050814723,0.9400050455988466,195,0
development_repeated_nested_cv,primary_instrument1_full,1,5,Arnoldi FPLS,4.965265664021317,3.5208139723735923,-0.11400370561534703,0.9356788153256805,195,0
development_repeated_nested_cv,primary_instrument1_full,1,5,FPCR,5.222262191676312,3.575087024868286,-0.2015360992723024,0.928848116783565,195,0
development_source_contiguous_cv,primary_instrument1_full,1,1,CG-FPLS-code,6.148662300404364,4.716011931897647,-0.012982531239899887,0.9013651617448782,195,0
development_source_contiguous_cv,primary_instrument1_full,1,1,Raw FPLS,4.85343247001014,3.592942413649825,0.12813579128080838,0.9385436112583201,195,0
development_source_contiguous_cv,primary_instrument1_full,1,1,Arnoldi FPLS,5.120086566810172,3.6999839913672217,-0.02566480069723455,0.9316051089710639,195,0
development_source_contiguous_cv,primary_instrument1_full,1,1,FPCR,5.348465631969794,3.82496469348336,0.20512508554211017,0.9253675887268834,195,0
original_split_sensitivity,primary_instrument1_full,1,1,CG-FPLS-code,5.997854942137112,4.820366810676184,2.1086347447876834,-5.442409767085705,40,0
original_split_sensitivity,primary_instrument1_full,1,1,Raw FPLS,4.131477609607036,3.597615593256517,1.6498925512274347,-2.0568014810383404,40,0
original_split_sensitivity,primary_instrument1_full,1,1,Arnoldi FPLS,4.15019247937055,3.5581865497925436,1.405693300669269,-2.0845577548587615,40,0
original_split_sensitivity,primary_instrument1_full,1,1,FPCR,3.977993120824317,3.4305364499152353,1.5115564928500682,-1.833899755309615,40,0
