analysis,variant,variant_role,instrument,repeat,outer_fold,evaluation_index_scope,method,wavelength_nm,linear_weight,functional_beta_common_1_over_650,intercept,training_y_mean,retained_processed_wavelength,training_x_mean_after_fixed_transform,processed_grid_size,status
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,600.0,0.5097302220818761,331.32464435321947,168.01942458930455,193.33653846153845,True,3.2613143205128208,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,602.0,0.4970170729564125,323.06109742166814,168.01942458930455,193.33653846153845,True,3.2595959807692307,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,604.0,0.5015211364542491,325.98873869526193,168.01942458930455,193.33653846153845,True,3.262734519230771,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,606.0,0.4972906039182096,323.23889254683627,168.01942458930455,193.33653846153845,True,3.270883346153848,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,608.0,0.489903509933342,318.4372814566723,168.01942458930455,193.33653846153845,True,3.2799887435897452,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,610.0,0.4855684635504942,315.6195013078212,168.01942458930455,193.33653846153845,True,3.2894979038461556,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,612.0,0.4867599812718526,316.3939878267042,168.01942458930455,193.33653846153845,True,3.2987248461538456,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,614.0,0.47618361168578843,309.5193475957625,168.01942458930455,193.33653846153845,True,3.3079693012820517,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,616.0,0.4869024339751247,316.4865820838311,168.01942458930455,193.33653846153845,True,3.3145611730769233,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,618.0,0.49747948476540416,323.3616650975127,168.01942458930455,193.33653846153845,True,3.3206551666666653,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,620.0,0.4868079010841534,316.4251357046997,168.01942458930455,193.33653846153845,True,3.324264903846154,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,622.0,0.47426293470469194,308.27090755804977,168.01942458930455,193.33653846153845,True,3.326070641025642,650,ok
