analysis,variant,instrument,repeat,method,rmse,mae,bias,r2,observations,failed_predictions
development_repeated_nested_cv,primary_instrument1_full,1,1,CG-FPLS-code,5.989727532322187,4.677497053952102,0.0256490705971804,0.9063984180697496,195,0
development_repeated_nested_cv,primary_instrument1_full,1,1,Raw FPLS,4.800214222563246,3.432833594123885,-0.0871780458770418,0.9398839699138754,195,0
development_repeated_nested_cv,primary_instrument1_full,1,1,Arnoldi FPLS,4.741142209800284,3.3958039823074153,-0.0801280221273218,0.941354456079896,195,0
development_repeated_nested_cv,primary_instrument1_full,1,1,FPCR,5.623667289225119,3.9831042481103487,0.4940643467469569,0.9174896761060244,195,0
development_repeated_nested_cv,primary_instrument1_full,1,2,CG-FPLS-code,5.924298661015803,4.600974750709018,0.029354209869093,0.9084321655760508,195,0
development_repeated_nested_cv,primary_instrument1_full,1,2,Raw FPLS,4.883750131202428,3.574335144617959,-0.1064311767205917,0.9377734209239478,195,0
development_repeated_nested_cv,primary_instrument1_full,1,2,Arnoldi FPLS,5.083809833493444,3.5421190319670712,-0.1130612567928051,0.932570855747822,195,0
development_repeated_nested_cv,primary_instrument1_full,1,2,FPCR,5.504712667363823,3.827288671672287,-0.4543556552354022,0.9209433578944004,195,0
development_repeated_nested_cv,primary_instrument1_full,1,3,CG-FPLS-code,5.982784485792571,4.587749287916303,-0.0102703460879623,0.9066152905327722,195,0
development_repeated_nested_cv,primary_instrument1_full,1,3,Raw FPLS,4.802201185896046,3.4930892379501097,0.0588905668205761,0.93983419168994,195,0
development_repeated_nested_cv,primary_instrument1_full,1,3,Arnoldi FPLS,4.8382284053821705,3.487094472805295,-0.0571703286063504,0.938928049843726,195,0
development_repeated_nested_cv,primary_instrument1_full,1,3,FPCR,5.074126196382183,3.596142454515587,-0.3908873482747425,0.9328274890629052,195,0
development_repeated_nested_cv,primary_instrument1_full,1,4,CG-FPLS-code,5.78413744107418,4.423243661592541,0.0137467752183267,0.9127136642456072,195,0
development_repeated_nested_cv,primary_instrument1_full,1,4,Raw FPLS,4.8348966210517625,3.5061700135500766,-0.0188601682176967,0.9390121337223918,195,0
development_repeated_nested_cv,primary_instrument1_full,1,4,Arnoldi FPLS,4.954183897219885,3.560967391491627,-0.0147478679349568,0.9359656064025468,195,0
development_repeated_nested_cv,primary_instrument1_full,1,4,FPCR,5.39588510686113,3.926120099800395,0.0620028179487915,0.9240383408607256,195,0
development_repeated_nested_cv,primary_instrument1_full,1,5,CG-FPLS-code,5.939507126014528,4.472703992534238,-0.032034131565196,0.9079614284348002,195,0
development_repeated_nested_cv,primary_instrument1_full,1,5,Raw FPLS,4.795377890616173,3.4754208587014452,-0.0024270440508147,0.9400050455988466,195,0
development_repeated_nested_cv,primary_instrument1_full,1,5,Arnoldi FPLS,4.965265664021317,3.5208139723735923,-0.114003705615347,0.9356788153256804,195,0
development_repeated_nested_cv,primary_instrument1_full,1,5,FPCR,5.222262191676312,3.575087024868286,-0.2015360992723024,0.928848116783565,195,0
