model,n,delta,replications,alpha,calibration,test_engine,critical_value,power,mcse
Model 1,100,-1.0,5000,0.05,empirical,direct-moment,15.581942736312937,1.0,0.0
Model 1,100,-0.95,5000,0.05,empirical,direct-moment,15.581942736312937,0.9998,0.00019997999899988897
Model 1,100,-0.8999999999999999,5000,0.05,empirical,direct-moment,15.581942736312937,1.0,0.0
Model 1,100,-0.8499999999999999,5000,0.05,empirical,direct-moment,15.581942736312937,0.9994,0.0003463062228721987
Model 1,100,-0.7999999999999998,5000,0.05,empirical,direct-moment,15.581942736312937,0.9992,0.0003998399679871993
Model 1,100,-0.7499999999999998,5000,0.05,empirical,direct-moment,15.581942736312937,0.997,0.0007734339015067807
Model 1,100,-0.6999999999999997,5000,0.05,empirical,direct-moment,15.581942736312937,0.995,0.0009974968671630005
Model 1,100,-0.6499999999999997,5000,0.05,empirical,direct-moment,15.581942736312937,0.986,0.0016615655268450904
Model 1,100,-0.5999999999999996,5000,0.05,empirical,direct-moment,15.581942736312937,0.9728,0.002300441696718263
Model 1,100,-0.5499999999999996,5000,0.05,empirical,direct-moment,15.581942736312937,0.945,0.003224127789030703
Model 1,100,-0.49999999999999956,5000,0.05,empirical,direct-moment,15.581942736312937,0.9038,0.004170025419586791
Model 1,100,-0.4499999999999995,5000,0.05,empirical,direct-moment,15.581942736312937,0.836,0.005236487372275427
Model 1,100,-0.39999999999999947,5000,0.05,empirical,direct-moment,15.581942736312937,0.752,0.00610730709887754
Model 1,100,-0.3499999999999994,5000,0.05,empirical,direct-moment,15.581942736312937,0.6402,0.006787399502018428
Model 1,100,-0.2999999999999994,5000,0.05,empirical,direct-moment,15.581942736312937,0.513,0.007068677386894949
Model 1,100,-0.24999999999999933,5000,0.05,empirical,direct-moment,15.581942736312937,0.3756,0.006848717252157516
Model 1,100,-0.1999999999999993,5000,0.05,empirical,direct-moment,15.581942736312937,0.259,0.006195466084161869
Model 1,100,-0.14999999999999925,5000,0.05,empirical,direct-moment,15.581942736312937,0.1638,0.005233919372707226
Model 1,100,-0.0999999999999992,5000,0.05,empirical,direct-moment,15.581942736312937,0.1034,0.0043060060380821575
Model 1,100,-0.049999999999999156,5000,0.05,empirical,direct-moment,15.581942736312937,0.0628,0.0034309229079068507
Model 1,100,0.0,5000,0.05,empirical,direct-moment,15.581942736312937,0.0508,0.0031054584202658392
Model 1,100,0.05000000000000093,5000,0.05,empirical,direct-moment,15.581942736312937,0.0604,0.0033690307211422105
Model 1,100,0.10000000000000098,5000,0.05,empirical,direct-moment,15.581942736312937,0.1036,0.004309687691701105
Model 1,100,0.15000000000000102,5000,0.05,empirical,direct-moment,15.581942736312937,0.1752,0.005375964285595654
Model 1,100,0.20000000000000107,5000,0.05,empirical,direct-moment,15.581942736312937,0.2614,0.006214017058232138
Model 1,100,0.2500000000000011,5000,0.05,empirical,direct-moment,15.581942736312937,0.3788,0.006860183087935773
Model 1,100,0.30000000000000115,5000,0.05,empirical,direct-moment,15.581942736312937,0.4992,0.007071058760892883
Model 1,100,0.3500000000000012,5000,0.05,empirical,direct-moment,15.581942736312937,0.6358,0.006805267959456115
Model 1,100,0.40000000000000124,5000,0.05,empirical,direct-moment,15.581942736312937,0.7442,0.006170354284804075
Model 1,100,0.4500000000000013,5000,0.05,empirical,direct-moment,15.581942736312937,0.8382,0.005208085252758446
Model 1,100,0.5000000000000013,5000,0.05,empirical,direct-moment,15.581942736312937,0.8984,0.004272644146193315
Model 1,100,0.5500000000000014,5000,0.05,empirical,direct-moment,15.581942736312937,0.9488,0.0031170036894427964
Model 1,100,0.6000000000000014,5000,0.05,empirical,direct-moment,15.581942736312937,0.9714,0.002357203427793196
Model 1,100,0.6500000000000015,5000,0.05,empirical,direct-moment,15.581942736312937,0.986,0.0016615655268450904
Model 1,100,0.7000000000000015,5000,0.05,empirical,direct-moment,15.581942736312937,0.9938,0.0011100954913880142
Model 1,100,0.7500000000000016,5000,0.05,empirical,direct-moment,15.581942736312937,0.9972,0.000747283078893136
Model 1,100,0.8000000000000016,5000,0.05,empirical,direct-moment,15.581942736312937,0.9998,0.00019997999899988897
Model 1,100,0.8500000000000016,5000,0.05,empirical,direct-moment,15.581942736312937,0.999,0.0004469899327725404
Model 1,100,0.9000000000000017,5000,0.05,empirical,direct-moment,15.581942736312937,1.0,0.0
Model 1,100,0.9500000000000017,5000,0.05,empirical,direct-moment,15.581942736312937,1.0,0.0
Model 1,100,1.0000000000000018,5000,0.05,empirical,direct-moment,15.581942736312937,1.0,0.0
Model 1,200,-1.0,5000,0.05,empirical,direct-moment,15.555429589962767,1.0,0.0
Model 1,200,-0.95,5000,0.05,empirical,direct-moment,15.555429589962767,1.0,0.0
Model 1,200,-0.8999999999999999,5000,0.05,empirical,direct-moment,15.555429589962767,1.0,0.0
Model 1,200,-0.8499999999999999,5000,0.05,empirical,direct-moment,15.555429589962767,1.0,0.0
Model 1,200,-0.7999999999999998,5000,0.05,empirical,direct-moment,15.555429589962767,1.0,0.0
Model 1,200,-0.7499999999999998,5000,0.05,empirical,direct-moment,15.555429589962767,1.0,0.0
Model 1,200,-0.6999999999999997,5000,0.05,empirical,direct-moment,15.555429589962767,1.0,0.0
Model 1,200,-0.6499999999999997,5000,0.05,empirical,direct-moment,15.555429589962767,1.0,0.0
Model 1,200,-0.5999999999999996,5000,0.05,empirical,direct-moment,15.555429589962767,0.9996,0.0002827861382741226
Model 1,200,-0.5499999999999996,5000,0.05,empirical,direct-moment,15.555429589962767,0.9986,0.000528779727296718
Model 1,200,-0.49999999999999956,5000,0.05,empirical,direct-moment,15.555429589962767,0.997,0.0007734339015067807
Model 1,200,-0.4499999999999995,5000,0.05,empirical,direct-moment,15.555429589962767,0.9858,0.001673222041451761
Model 1,200,-0.39999999999999947,5000,0.05,empirical,direct-moment,15.555429589962767,0.9662,0.0025556822963741033
Model 1,200,-0.3499999999999994,5000,0.05,empirical,direct-moment,15.555429589962767,0.9006,0.004231303345306267
Model 1,200,-0.2999999999999994,5000,0.05,empirical,direct-moment,15.555429589962767,0.8008,0.005648351263864528
Model 1,200,-0.24999999999999933,5000,0.05,empirical,direct-moment,15.555429589962767,0.6468,0.006759434295856421
Model 1,200,-0.1999999999999993,5000,0.05,empirical,direct-moment,15.555429589962767,0.4536,0.007040554523615309
Model 1,200,-0.14999999999999925,5000,0.05,empirical,direct-moment,15.555429589962767,0.2808,0.006355334137557207
Model 1,200,-0.0999999999999992,5000,0.05,empirical,direct-moment,15.555429589962767,0.1506,0.005058055752954884
Model 1,200,-0.049999999999999156,5000,0.05,empirical,direct-moment,15.555429589962767,0.0758,0.003743109936937466
Model 1,200,0.0,5000,0.05,empirical,direct-moment,15.555429589962767,0.0508,0.0031054584202658392
Model 1,200,0.05000000000000093,5000,0.05,empirical,direct-moment,15.555429589962767,0.0704,0.003617840239701029
Model 1,200,0.10000000000000098,5000,0.05,empirical,direct-moment,15.555429589962767,0.1576,0.005152906752503872
Model 1,200,0.15000000000000102,5000,0.05,empirical,direct-moment,15.555429589962767,0.2822,0.006364953416954439
Model 1,200,0.20000000000000107,5000,0.05,empirical,direct-moment,15.555429589962767,0.463,0.007051680650738517
Model 1,200,0.2500000000000011,5000,0.05,empirical,direct-moment,15.555429589962767,0.6482,0.006753321553132207
Model 1,200,0.30000000000000115,5000,0.05,empirical,direct-moment,15.555429589962767,0.8032,0.005622628566782621
Model 1,200,0.3500000000000012,5000,0.05,empirical,direct-moment,15.555429589962767,0.905,0.0041466854233230665
Model 1,200,0.40000000000000124,5000,0.05,empirical,direct-moment,15.555429589962767,0.9626,0.002683327784673352
Model 1,200,0.4500000000000013,5000,0.05,empirical,direct-moment,15.555429589962767,0.9892,0.0014617359542680771
Model 1,200,0.5000000000000013,5000,0.05,empirical,direct-moment,15.555429589962767,0.9974,0.0007201722016295889
Model 1,200,0.5500000000000014,5000,0.05,empirical,direct-moment,15.555429589962767,0.9992,0.0003998399679871993
Model 1,200,0.6000000000000014,5000,0.05,empirical,direct-moment,15.555429589962767,0.9998,0.00019997999899988897
Model 1,200,0.6500000000000015,5000,0.05,empirical,direct-moment,15.555429589962767,1.0,0.0
Model 1,200,0.7000000000000015,5000,0.05,empirical,direct-moment,15.555429589962767,1.0,0.0
Model 1,200,0.7500000000000016,5000,0.05,empirical,direct-moment,15.555429589962767,1.0,0.0
Model 1,200,0.8000000000000016,5000,0.05,empirical,direct-moment,15.555429589962767,1.0,0.0
Model 1,200,0.8500000000000016,5000,0.05,empirical,direct-moment,15.555429589962767,1.0,0.0
Model 1,200,0.9000000000000017,5000,0.05,empirical,direct-moment,15.555429589962767,1.0,0.0
Model 1,200,0.9500000000000017,5000,0.05,empirical,direct-moment,15.555429589962767,1.0,0.0
Model 1,200,1.0000000000000018,5000,0.05,empirical,direct-moment,15.555429589962767,1.0,0.0
Model 2,100,-1.0,5000,0.05,empirical,direct-moment,15.762326336020495,1.0,0.0
Model 2,100,-0.95,5000,0.05,empirical,direct-moment,15.762326336020495,1.0,0.0
Model 2,100,-0.8999999999999999,5000,0.05,empirical,direct-moment,15.762326336020495,0.9996,0.0002827861382741226
Model 2,100,-0.8499999999999999,5000,0.05,empirical,direct-moment,15.762326336020495,0.9994,0.0003463062228721987
Model 2,100,-0.7999999999999998,5000,0.05,empirical,direct-moment,15.762326336020495,0.9992,0.0003998399679871993
Model 2,100,-0.7499999999999998,5000,0.05,empirical,direct-moment,15.762326336020495,0.9966,0.0008232180756032946
Model 2,100,-0.6999999999999997,5000,0.05,empirical,direct-moment,15.762326336020495,0.9936,0.0011277446519491869
Model 2,100,-0.6499999999999997,5000,0.05,empirical,direct-moment,15.762326336020495,0.9862,0.0016498218085599446
Model 2,100,-0.5999999999999996,5000,0.05,empirical,direct-moment,15.762326336020495,0.9686,0.002466334932648037
Model 2,100,-0.5499999999999996,5000,0.05,empirical,direct-moment,15.762326336020495,0.9416,0.0033163063790910513
Model 2,100,-0.49999999999999956,5000,0.05,empirical,direct-moment,15.762326336020495,0.901,0.004223718740636029
Model 2,100,-0.4499999999999995,5000,0.05,empirical,direct-moment,15.762326336020495,0.8324,0.005282238919246269
Model 2,100,-0.39999999999999947,5000,0.05,empirical,direct-moment,15.762326336020495,0.7424,0.006184532965390354
Model 2,100,-0.3499999999999994,5000,0.05,empirical,direct-moment,15.762326336020495,0.6292,0.006830920289390002
Model 2,100,-0.2999999999999994,5000,0.05,empirical,direct-moment,15.762326336020495,0.5016,0.007071031607905596
Model 2,100,-0.24999999999999933,5000,0.05,empirical,direct-moment,15.762326336020495,0.3652,0.006809243129746507
Model 2,100,-0.1999999999999993,5000,0.05,empirical,direct-moment,15.762326336020495,0.25,0.006123724356957945
Model 2,100,-0.14999999999999925,5000,0.05,empirical,direct-moment,15.762326336020495,0.175,0.005373546315051169
Model 2,100,-0.0999999999999992,5000,0.05,empirical,direct-moment,15.762326336020495,0.1012,0.00426517432234604
Model 2,100,-0.049999999999999156,5000,0.05,empirical,direct-moment,15.762326336020495,0.0566,0.003267917991627085
