method,iteration,x1,x2,objective_gap
Conjugate Gradient,0,-0.8459799944011261,-1.5699743046405898,3.999999999999997
Conjugate Gradient,1,-0.6585731166989854,-1.7929259263135424,1.9200319872051148
Conjugate Gradient,2,1.0000000000000033,-0.7500000000000002,9.904722488515501e-29
Steepest Descent,0,-0.8459799944011261,-1.5699743046405898,3.999999999999997
Steepest Descent,1,-0.6585731166989854,-1.7929259263135424,1.9200319872051148
Steepest Descent,2,0.11391484075228508,-1.1435942233990475,0.9216307079726995
Steepest Descent,3,0.2038716407048719,-1.2506127847018782,0.4423901099245176
Steepest Descent,4,0.5746720377141654,-0.9389283747263304,0.2123507904695633
Steepest Descent,5,0.6178520210580597,-0.9902981399578566,0.10193007755246242
Steepest Descent,6,0.7958391768396078,-0.8406871306913067,0.04892725233975624
Steepest Descent,7,0.816565914146423,-0.8653450287962435,0.023485472384596907
Steepest Descent,8,0.9020011722494813,-0.7935305479387892,0.01127321455326201
Steepest Descent,9,0.911950171904352,-0.80536653621347,0.005411233135222221
Steepest Descent,10,0.952959779002601,-0.7708950111157598,0.0025974351774626587
Steepest Descent,11,0.9577353783971121,-0.7765763801376526,0.0012467896563549976
Steepest Descent,12,0.9774203177499501,-0.7600297724288158,0.0005984690053794847
Steepest Descent,13,0.9797126436488347,-0.7627568749921034,0.0002872699084198491
Steepest Descent,14,0.9891615719547451,-0.7548143709719282,0.00013789185328187846
Steepest Descent,15,0.9902619067174844,-0.7561234020104035,6.618919226904888e-05
Steepest Descent,16,0.9947974678655233,-0.752310936566093,3.1771341590951805e-05
Steepest Descent,17,0.9953256373507966,-0.7529392819326223,1.525049803276079e-05
Steepest Descent,18,0.9975027429718365,-0.7511092680318248,7.320361010921672e-06
Steepest Descent,19,0.9977562685484341,-0.7514108788325118,3.5138318247146967e-06
Steepest Descent,20,0.9988012966564143,-0.7505324575258715,1.6866673752751366e-06
Steepest Descent,21,0.9989229909605748,-0.750677233122123,8.096138280759953e-07
Steepest Descent,22,0.9994246128092874,-0.750255583870375,3.886211117954737e-07
Steepest Descent,23,0.9994830270484496,-0.7503250773143174,1.8654124138796412e-07
Steepest Descent,24,0.9997238095472019,-0.7501226823016331,8.954128759851628e-08
Steepest Descent,25,0.9997518488491268,-0.7501560397104508,4.298053409134807e-08
Steepest Descent,26,0.9998674263740177,-0.7500588884858496,2.063100007016648e-08
Steepest Descent,27,0.9998808854631664,-0.7500749003088346,9.903045015775724e-09
Steepest Descent,28,0.9999363635993646,-0.750028266944127,4.753540799994441e-09
Steepest Descent,29,0.9999428240697856,-0.7500359527472032,2.281737597179712e-09
Steepest Descent,30,0.9999694540188083,-0.7500135683592258,1.0952522931203533e-09
Steepest Descent,31,0.9999725550962735,-0.7500172576061642,5.257298592444405e-10
Steepest Descent,32,0.9999853376847588,-0.7500065129209316,2.5235453653426985e-10
Steepest Descent,33,0.9999868262267408,-0.7500082837889642,1.2113219557970736e-10
Steepest Descent,34,0.9999929619714336,-0.7500031262541295,5.814442251617771e-11
Steepest Descent,35,0.9999936764834886,-0.7500039762849464,2.790978778560318e-11
Steepest Descent,36,0.9999966216900075,-0.7500015006269819,1.3396921309887435e-11
Steepest Descent,37,0.9999969646615077,-0.7500019086485715,6.430629365389262e-12
Steepest Descent,38,0.9999983783841889,-0.7500007203129513,3.0867535120197113e-12
Steepest Descent,39,0.9999985430132516,-0.7500009161665772,1.4816663721234374e-12
Steepest Descent,40,0.999999221611444,-0.7500003457559765,7.112117036619164e-13
Steepest Descent,41,0.9999993006347105,-0.7500004397672831,3.41387306091121e-13
Steepest Descent,42,0.9999996263672695,-0.7500001659656333,1.6386863535782278e-13
Steepest Descent,43,0.9999996642990694,-0.7500002110918124,7.865825576838173e-14
Steepest Descent,44,0.9999998206533025,-0.750000079664831,3.7756590947937714e-14
Steepest Descent,45,0.9999998388608698,-0.7500001013257577,1.812346578998658e-14
Steepest Descent,46,0.999999913912152,-0.7500000382397556,8.699408139950082e-15
Steepest Descent,47,0.9999999226519299,-0.7500000486371736,4.175785560031217e-15
Steepest Descent,48,0.9999999586771455,-0.7500000183553881,2.0044103121493447e-15
Steepest Descent,49,0.9999999628723089,-0.750000023346232,9.621330063671334e-16
Steepest Descent,50,0.9999999801647005,-0.7500000088107328,4.618314475477986e-16
Steepest Descent,51,0.9999999821784125,-0.7500000112063777,2.216828085310901e-16
Steepest Descent,52,0.9999999904788988,-0.7500000042292219,1.0640947616961398e-16
Steepest Descent,53,0.9999999914454966,-0.7500000053791506,5.107741009412432e-17
Steepest Descent,54,0.9999999954297963,-0.75000000203006,2.4517544030028785e-17
Steepest Descent,55,0.999999995893771,-0.750000002582035,1.1768622705360432e-17
Steepest Descent,56,0.9999999978062667,-0.7500000009744447,5.649023252768574e-18
Steepest Descent,57,0.9999999980289782,-0.7500000012393971,2.711578771714518e-18
Steepest Descent,58,0.9999999989469914,-0.750000000467741,1.3015752474869767e-18
Steepest Descent,59,0.9999999990538948,-0.7500000005949202,6.247674500611819e-19
