model,method,replications,finite_replications,failure_rate,mean_ise,se_ise,median_ise,p90_ise,p99_ise,max_ise,mean_mspe,se_mspe,median_mspe,p90_mspe,p99_mspe,max_mspe,mean_selected_components,median_selected_components,numerical_instability_count,numerical_instability_rate,extreme_ise_count,extreme_mspe_count
Model 1,CG-FPLS-code,5000,5000,0.0,0.6328003788523819,0.002986093246134271,0.5973356046882816,0.9101940040772171,1.2904773747704645,1.8240580318862356,1.2697294459487458,0.0037006903158271695,1.2303094853081515,1.6174474450159007,2.078151067013506,2.8414795680262226,1.098,1.0,0,0.0,0,0
Model 1,Raw FPLS,5000,5000,0.0,334.29793055462187,333.5195586128038,0.5389022893326971,0.9904394090931542,5.862917001625263,1667598.5678550303,21.224047104458897,20.093732385230837,1.1136012144878085,1.3574906544752958,1.6660374335645258,100469.79137906572,2.1338,2.0,20,0.004,1,1
Model 1,Arnoldi FPLS,5000,5000,0.0,0.760153492051265,0.018756783188575397,0.5389214617039308,0.9874618648129939,5.249344832819017,36.35323798618959,1.1297195893158611,0.002592252835325056,1.113316764777182,1.3562791439097588,1.6612195249793755,2.3130704329231793,2.0098,2.0,0,0.0,0,0
Model 1,FPCR,5000,5000,0.0,0.6699388520038697,0.008773055513586972,0.5323725978692433,0.9518117994932073,3.27997200514351,11.530651798141166,1.1262232760498376,0.002446734600418353,1.1122235047170141,1.3574490320053103,1.5861409573529692,1.892648835031855,5.84,5.0,0,0.0,0,0
Model 2,CG-FPLS-code,5000,5000,0.0,5.505853272152114,0.021080308464148316,5.271872770412809,7.353688474007829,10.682845392977327,16.785275079993756,1.9989350173283387,0.00880994531356631,1.8614720995422687,2.752890644287078,4.228417439588573,6.32008001947521,2.8856,3.0,0,0.0,0,0
Model 2,Raw FPLS,5000,5000,0.0,7.594288444818777,0.730814673614695,5.383801034281442,9.949036970012799,20.58294113268901,3481.6624497143703,1.5175807824705652,0.03436227544097625,1.4277324106119758,1.7929112431284686,2.258694664328279,157.79230939168127,7.8204,5.0,409,0.0818,2,1
Model 2,Arnoldi FPLS,5000,5000,0.0,6.064609412141618,0.0475299178453043,5.34524795510923,8.735870591389222,19.067066575316332,77.4105019292889,1.4415707956502888,0.003569121137116941,1.4189757402485177,1.7630660458449077,2.1798721616054237,3.247142797414623,4.808,5.0,0,0.0,0,0
Model 2,FPCR,5000,5000,0.0,5.66159355282184,0.026291275945180003,5.365276335827837,7.392234429688062,12.918981013680874,28.2324993438947,1.4953029795555188,0.0037928130248770123,1.4721253226634694,1.835694864887093,2.282331071499238,2.8470365181489323,18.3496,17.0,0,0.0,0,0
Model 3,CG-FPLS-code,5000,5000,0.0,0.4465396155693979,0.0017857378746964608,0.4260726753655835,0.6075126116396203,0.8394485646452827,1.2511247306137916,1.2205269586292746,0.0036943613302623185,1.1760836910049552,1.5340931917854093,2.1072845203343906,3.267303604236447,1.8326,2.0,0,0.0,0,0
Model 3,Raw FPLS,5000,5000,0.0,1.2194878725802276,0.449133816609715,0.4459261922343539,0.8609113393854178,4.888878418479455,2203.342633864568,1.1539503291086892,0.019548085877372973,1.113676512124865,1.3645165764229357,1.6624557555921207,97.36993972803519,2.9558,3.0,16,0.0032,3,0
Model 3,Arnoldi FPLS,5000,5000,0.0,0.6696629765352009,0.015635615949941045,0.44586902576348064,0.8560059198817072,4.717170757519962,30.231172756051432,1.1313751659062152,0.002551672187114717,1.1135475934143146,1.3632882533298947,1.6263901238879876,2.730663841026639,2.8452,3.0,0,0.0,0,0
Model 3,FPCR,5000,5000,0.0,0.6149954467347419,0.009662555655694944,0.4630210698685113,0.9298492696516237,3.50071945483429,16.303443430993187,1.1266324916478654,0.002438608104559178,1.1125606551101983,1.3485087545616141,1.6189897285070192,1.8472420252847013,7.057,6.0,0,0.0,0,0
