subset,model,method,decomposition_available,decomposition_scope,archived_replications_in_scope,decomposition_replications,slope_squared_bias,slope_variance,slope_mse,archived_mean_ise,replayed_mean_ise,slope_decomposition_minus_replayed_ise,prediction_squared_bias,prediction_variance,irreducible_noise_variance,expected_test_mspe,archived_mean_test_mspe,expected_minus_archived_test_mspe,variance_denominator
all replications,Model 1,CG-FPLS-code,True,all replications,5000,5000,0.10693604780133618,0.525864331051041,0.6328003788523772,0.6328003788523819,0.6328003788523819,-4.773959005888173e-15,0.11016102488030521,0.1603865429366282,1.0,1.2705475678169336,1.2697294459487458,0.0008181218681877489,5000
all replications,Model 1,Raw FPLS,False,not recoverable for archived unstable raw fits,5000,4980,nan,nan,nan,334.29793055462187,nan,nan,nan,nan,1.0,nan,21.224047104458897,nan,
all replications,Model 1,Arnoldi FPLS,True,all replications,5000,5000,0.008177898764386033,0.7519755932868736,0.7601534920512596,0.760153492051265,0.760153492051265,-5.440092820663267e-15,0.013231243181342334,0.11628168327294691,1.0,1.1295129264542894,1.1297195893158611,-0.00020666286157178249,5000
all replications,Model 1,FPCR,True,all replications,5000,5000,0.009780692354714671,0.6601581596491548,0.6699388520038695,0.6699388520038697,0.6699388520038697,-2.220446049250313e-16,0.01641544186311833,0.1102178708799282,1.0,1.1266333127430466,1.1262232760498376,0.0004100366932089372,5000
all replications,Model 2,CG-FPLS-code,True,all replications,5000,5000,1.226284001212119,4.279569270939968,5.505853272152087,5.505853272152114,5.505853272152114,-2.7533531010703882e-14,0.473284206293549,0.522413999854489,1.0,1.995698206148038,1.9989350173283387,-0.003236811180300725,5000
all replications,Model 2,Raw FPLS,False,not recoverable for archived unstable raw fits,5000,4591,nan,nan,nan,7.594288444818777,nan,nan,nan,nan,1.0,nan,1.5175807824705652,nan,
all replications,Model 2,Arnoldi FPLS,True,all replications,5000,5000,0.09897793181550264,5.965631480326103,6.064609412141605,6.064609412141618,6.064609412141618,-1.2434497875801753e-14,0.04907739464876212,0.3902830790609526,1.0,1.4393604737097148,1.4415707956502888,-0.0022103219405740226,5000
all replications,Model 2,FPCR,True,all replications,5000,5000,0.24194322173637964,5.419650331085499,5.661593552821879,5.66159355282184,5.66159355282184,3.907985046680551e-14,0.11057022764440234,0.38566153862062824,1.0,1.4962317662650306,1.4953029795555188,0.0009287867095117974,5000
all replications,Model 3,CG-FPLS-code,True,all replications,5000,5000,0.01831866195562828,0.428220953613761,0.44653961556938926,0.4465396155693979,0.4465396155693979,-8.659739592076221e-15,0.03459405902184117,0.18831731097828108,1.0,1.2229113700001222,1.2205269586292746,0.00238441137084755,5000
all replications,Model 3,Raw FPLS,False,not recoverable for archived unstable raw fits,5000,4984,nan,nan,nan,1.2194878725802276,nan,nan,nan,nan,1.0,nan,1.1539503291086892,nan,
