model,method,distribution_scope,replications,coefficient,true,mean,bias,variance,standard_deviation,median,p025,p975,minimum,maximum,skewness,excess_kurtosis
Model 1,CG-FPLS-code,all replications,5000,1,4.000000000000002,3.8674673411559897,-0.1325326588440121,0.00766715540115581,0.08756229440321793,3.8712569234356984,3.686447180941147,4.028125106754233,3.4468088845501725,4.194951078115272,-0.3159842565591316,0.41066687950756675
Model 1,CG-FPLS-code,all replications,5000,2,0.6155722066724589,0.3662302267137658,-0.24934197995869312,0.06305897018888006,0.25111545191182494,0.36265967199192745,-0.11108280090560396,0.8417239014087263,-0.40255768211595555,1.3303177293722517,0.04589692133685262,-0.31789516935816486
Model 1,CG-FPLS-code,all replications,5000,3,0.2059835807875418,0.07136163569214937,-0.13462194509539244,0.04578947031379912,0.21398474317997326,0.07498968818338342,-0.34739501937230227,0.48357655940502664,-0.7650613095744723,0.9167341609068367,-0.04486742052402372,0.04741310757765538
Model 1,Raw FPLS,archived numerically stable raw fits,4980,1,4.000000000000002,3.92193511703909,-0.07806488296091185,0.006314690250202879,0.07946502532688754,3.920747427590973,3.768215287989992,4.076655952286675,3.5941153839957005,4.300796505219937,0.0358102363632486,0.28215658735881766
Model 1,Raw FPLS,archived numerically stable raw fits,4980,2,0.6155722066724589,0.6419834154902626,0.026411208817803677,0.020470914602542106,0.14307660396634422,0.6565129455411264,0.3276569977795403,0.8980671603720876,0.011989225435981037,1.1223472574670998,-0.4138460965205456,0.24693455842043743
Model 1,Raw FPLS,archived numerically stable raw fits,4980,3,0.2059835807875418,0.1915778766418225,-0.014405704145719317,0.024402957645058485,0.1562144604223901,0.18980188204634663,-0.12050059443153834,0.5017784891429761,-0.47814576737234354,0.7933332800977267,0.025561264300106742,0.2548307773753038
Model 1,Arnoldi FPLS,all replications,5000,1,4.000000000000002,3.922086766968942,-0.0779132330310599,0.0063423973523466445,0.07963916971155993,3.920986599189755,3.7681786009664964,4.076969077016574,3.5941153839956987,4.300796505403576,0.036591459098399684,0.2783868911336791
Model 1,Arnoldi FPLS,all replications,5000,2,0.6155722066724589,0.6419418763123784,0.02636966963991949,0.020488710681944328,0.14313878119484016,0.6565129455410841,0.32683173855513387,0.8979165560282008,0.011989225435980765,1.1223472574671005,-0.41770503548548366,0.25207318521459365
Model 1,Arnoldi FPLS,all replications,5000,3,0.2059835807875418,0.19152858839922607,-0.01445499238831574,0.024393203370120655,0.15618323652082722,0.18975352926577635,-0.12058685452225437,0.501895283048377,-0.4781457673723444,0.7933332801151677,0.024849232857897124,0.2581364352524367
Model 1,FPCR,all replications,5000,1,4.000000000000002,3.9136987816391877,-0.08630121836081406,0.006191098727717464,0.07868353530261248,3.9136451866044344,3.756725473177312,4.067914514398483,3.565420541505651,4.234755599014799,-0.023875485470943914,0.15891552232614048
