model,method,metric,mean,q1,median,q3,p90,p99,maximum,upper_whisker_1.5_iqr,upper_outlier_count,upper_outlier_rate,numerical_instability_count,numerical_instability_rate
Model 1,CG-FPLS-code,ISE,0.6328003788523819,0.4789434486381756,0.5973356046882816,0.7400447592196835,0.9101940040772171,1.2904773747704645,1.8240580318862356,1.1316967250919454,155,0.031,0,0.0
Model 1,CG-FPLS-code,MSPE,1.2697294459487458,1.0872757388222256,1.2303094853081515,1.4092603956303884,1.6174474450159007,2.078151067013506,2.8414795680262226,1.8922373808426327,114,0.0228,0,0.0
Model 1,Raw FPLS,ISE,334.29793055462187,0.4511435286842732,0.5389022893326971,0.6732175270993795,0.9904394090931542,5.862917001625263,1667598.5678550303,1.006328524722039,485,0.097,20,0.004
Model 1,Raw FPLS,MSPE,21.224047104458897,1.0019634879586246,1.1136012144878085,1.2338911642331534,1.3574906544752958,1.6660374335645258,100469.79137906572,1.5817826786449465,102,0.0204,20,0.004
Model 1,Arnoldi FPLS,ISE,0.760153492051265,0.4511435286843429,0.5389214617039308,0.6725003114375055,0.9874618648129939,5.249344832819017,36.35323798618959,1.0045354855672497,482,0.0964,0,0.0
Model 1,Arnoldi FPLS,MSPE,1.1297195893158611,1.0017135118083644,1.113316764777182,1.2331600508742246,1.3562791439097588,1.6612195249793755,2.3130704329231793,1.5803298594730149,99,0.0198,0,0.0
Model 1,FPCR,ISE,0.6699388520038697,0.43739269816596105,0.5323725978692433,0.6762542566756792,0.9518117994932073,3.27997200514351,11.530651798141166,1.0345465944402563,425,0.085,0,0.0
Model 1,FPCR,MSPE,1.1262232760498376,1.005094317017512,1.1122235047170141,1.229094383155342,1.3574490320053103,1.5861409573529692,1.892648835031855,1.5650944823620871,69,0.0138,0,0.0
Model 2,CG-FPLS-code,ISE,5.505853272152114,4.48252896319988,5.271872770412809,6.255270700509884,7.353688474007829,10.682845392977327,16.785275079993756,8.91438330647489,144,0.0288,0,0.0
Model 2,CG-FPLS-code,MSPE,1.9989350173283387,1.5925113874743366,1.8614720995422687,2.2479301713688717,2.752890644287078,4.228417439588573,6.32008001947521,3.2310583472106744,219,0.0438,0,0.0
Model 2,Raw FPLS,ISE,7.594288444818777,4.430097287460482,5.383801034281442,6.833404389409389,9.949036970012799,20.58294113268901,3481.6624497143703,10.43836504233275,457,0.0914,409,0.0818
Model 2,Raw FPLS,MSPE,1.5175807824705652,1.2712938127467928,1.4277324106119758,1.5932307148123024,1.7929112431284686,2.258694664328279,157.79230939168127,2.076136067910567,113,0.0226,409,0.0818
Model 2,Arnoldi FPLS,ISE,6.064609412141618,4.412366291607199,5.34524795510923,6.631306008048678,8.735870591389222,19.067066575316332,77.4105019292889,9.959715582710896,313,0.0626,0,0.0
Model 2,Arnoldi FPLS,MSPE,1.4415707956502888,1.2667260404268907,1.4189757402485177,1.581060970330197,1.7630660458449077,2.1798721616054237,3.247142797414623,2.0525633651851565,91,0.0182,0,0.0
Model 2,FPCR,ISE,5.66159355282184,4.635597537888981,5.365276335827837,6.22925318806627,7.392234429688062,12.918981013680874,28.2324993438947,8.619736663332203,212,0.0424,0,0.0
Model 2,FPCR,MSPE,1.4953029795555188,1.308167151546353,1.4721253226634694,1.6561523051427638,1.835694864887093,2.282331071499238,2.8470365181489323,2.1781300355373796,87,0.0174,0,0.0
Model 3,CG-FPLS-code,ISE,0.4465396155693979,0.3574616107477516,0.4260726753655835,0.5145371989309097,0.6075126116396203,0.8394485646452827,1.2511247306137916,0.7501505812056467,130,0.026,0,0.0
Model 3,CG-FPLS-code,MSPE,1.2205269586292746,1.0464112199534448,1.1760836910049552,1.3427361054998357,1.5340931917854093,2.1072845203343906,3.267303604236447,1.7872234338194222,170,0.034,0,0.0
Model 3,Raw FPLS,ISE,1.2194878725802276,0.3730439846513301,0.4459261922343539,0.5491706197587714,0.8609113393854178,4.888878418479455,2203.342633864568,0.8133605724199332,528,0.1056,16,0.0032
Model 3,Raw FPLS,MSPE,1.1539503291086892,1.0081414344955502,1.113676512124865,1.2382808312241467,1.3645165764229357,1.6624557555921207,97.36993972803519,1.5834899263170414,81,0.0162,16,0.0032
Model 3,Arnoldi FPLS,ISE,0.6696629765352009,0.3730439846513278,0.44586902576348064,0.5487952513173189,0.8560059198817072,4.717170757519962,30.231172756051432,0.8124221513163055,527,0.1054,0,0.0
Model 3,Arnoldi FPLS,MSPE,1.1313751659062152,1.0081414344955717,1.1135475934143146,1.2380694247554649,1.3632882533298947,1.6263901238879876,2.730663841026639,1.5829614101453047,73,0.0146,0,0.0
Model 3,FPCR,ISE,0.6149954467347419,0.37303670171341724,0.4630210698685113,0.6039744933159183,0.9298492696516237,3.50071945483429,16.303443430993187,0.95038118071967,476,0.0952,0,0.0
Model 3,FPCR,MSPE,1.1266324916478654,1.0050162268824823,1.1125606551101983,1.2362083713662,1.3485087545616141,1.6189897285070192,1.8472420252847013,1.5829965880917767,64,0.0128,0,0.0
